000001,20060425,20060817,20061025,20070321,20070425,20070815,20071022,20080319,20080423,20080820,20081024,20090319,20090423,20090820,20091028,20100311,20100428,20100824,20101027,20110224,20110426,20110817,20111025,20120308,20120426,20120815,20121025,20130307,20130424,20130822,20131022,20140306,20140423,20140813,20141023,20150312,20150423,20150813,20151022,20160309,20160420,20160811,20161020,20170316,20170421,20170810,20171020,20180314,20180419,20180815,20181023,20190306,20190423,20190807,20191021,20200213,20200420,20200827,20201021,20210201,20210420,20210819,20211020,20220309,20220426,20220817,20221024,20230308,20230424,20230823,20231024,20240314,20240419,20240815,20241018
EPS,0.0334,0.0407,0.0612,0.0629,0.0751,0.0785,0.1002,0.1033,0.1224,0.1354,0.1363,-0.3147,0.1302,0.1385,0.1555,0.1623,0.1845,0.1695,0.1772,0.1571,0.2496,0.2417,0.2351,0.1829,0.2423,0.2353,0.2459,0.2234,0.2532,0.2783,0.2951,0.2309,0.3067,0.305,0.3403,0.2497,0.3417,0.3543,0.3583,0.2402,0.35,0.3614,0.37,0.226,0.31,0.3692,0.38,0.2351,0.3841,0.3438,0.41,0.254,0.38,0.4125,0.47,0.2379,0.4,0.2644,0.45,0.2942,0.42,0.384,0.6,0.3288,0.56,0.476,0.75,0.4142,0.65,0.5558,0.73,0.5127,0.66,0.5641,0.71
000002,20060425,20060731,20061030,20070320,20070430,20070828,20071030,20080320,20080424,20080804,20081027,20090309,20090424,20090803,20091023,20100301,20100426,20100809,20101022,20110303,20110419,20110808,20111024,20120331,20120424,20120806,20121023,20130227,20130422,20130806,20131029,20140306,20140428,20140817,20141026,20150330,20150426,20150816,20151027,20160313,20160427,20160821,20161027,20170326,20170427,20170824,20171026,20180326,20180425,20180820,20181025,20190325,20190429,20190820,20191024,20200317,20200427,20200827,20201029,20210330,20210422,20210829,20211028,20220330,20220428,20220830,20221028,20230330,20230428,20230830,20231027,20240328,20240429,20240830,20241030
EPS,0.0421,0.0938,0.0174,0.0833,0.0583,0.1007,0.0234,0.2656,0.0653,0.1221,0.02,0.1598,0.07,0.1597,0.039,0.2157,0.1,0.1533,0.042,0.3648,0.11,0.1612,0.055,0.5494,0.13,0.2118,0.123,0.6795,0.15,0.2673,0.15,0.8133,0.14,0.2978,0.15,0.8427,0.059,0.3799,0.18,1.0206,0.075,0.4116,0.26,1.1559,0.063,0.5985,0.343,1.5364,0.081,0.7454,0.44,1.7925,0.102,0.956,0.57,1.8254,0.111,0.9961,0.63,1.8677,0.1112,0.8396,0.4851,0.5023,0.1229,0.931,0.4191,0.4811,0.1251,0.7105,0.3163,-0.1226,-0.0305,-0.8053,-0.678
000008,20060420,20060727,20061026,20070329,20070419,20070726,20071026,20080314,20080425,20080807,20081023,20090306,20090417,20090806,20091021,20100326,20100422,20100818,20101022,20110224,20110422,20110729,20111025,20120302,20120426,20120806,20121026,20130328,20130427,20130814,20131025,20140328,20140423,20140731,20141024,20150209,20150428,20150828,20151030,20160427,20160429,20160824,20161025,20170331,20170426,20170829,20171030,20180425,20180427,20180824,20181019,20190424,20190426,20190828,20191021,20200423,20200429,20200828,20201030,20210419,20210426,20210827,20211028,20220428,20220429,20220830,20221028,20230421,20230427,20230825,20231027,20240415,20240429,20240829,20241030
EPS,-0.0001,-0.0006,-0.0003,-0.0018,0.0016,0.0001,0.0017,-0.0008,0.0004,0,0.0001,0.0006,-0.0002,-0.0003,0.0004,0.0006,-0.0001,0.0001,0.0001,0.0013,-0.0004,-0.0001,-0.0001,0.0537,0.0096,0.0128,0.0166,0.0178,0.003,0.005,0.0049,0.0043,0.0046,0.0029,0.0009,-0.0015,0.0255,0.0056,0.0119,0.0373,0.0029,0.011,0.0634,0.1106,0.0027,0.0168,0.0236,0.2687,0.0037,0.0182,0.0221,0.0715,0.0042,0.0197,0.031,0.1052,-0.0425,-0.0669,0.0197,-0.2403,-0.0317,-0.0231,0.0185,-0.477,-0.0189,-0.0121,-0.0335,-0.2471,-0.0121,-0.0186,-0.0228,-0.2514,-0.0179,-0.0464,-0.0019
000009,20060429,20060819,20061025,20070417,20070425,20070823,20071026,20080308,20080425,20080806,20081025,20090424,20090424,20090827,20091030,20100326,20100429,20100816,20101029,20110322,20110426,20110825,20111026,20120425,20120426,20120828,20121026,20130427,20130427,20130827,20131028,20140425,20140425,20140821,20141029,20150428,20150428,20150827,20151030,20160428,20160428,20160829,20161027,20170426,20170426,20170829,20171027,20180427,20180427,20180830,20181030,20190430,20190429,20190830,20191025,20200428,20200428,20200827,20201028,20210326,20210423,20210824,20211025,20220330,20220427,20220822,20221026,20230414,20230428,20230828,20231030,20240415,20240429,20240829,20241030
EPS,0.0009,-0.0026,-0.0014,0.0587,0.0196,0.0288,0.0228,0.0313,0.0392,0.0237,0.0124,0.0083,0.0268,0.0372,0.0134,0.0227,0.0335,0.0459,0.0224,0.0315,0.0424,0.0465,0.0045,0.0162,0.0134,0.008,0.0025,0.0419,0.0103,0.0024,0.1147,-0.0074,0.0309,0.064,0.0125,0.0175,0.0222,0.0244,0.2179,0.0233,0.0123,0.0164,0.0614,0.0089,0.013,0.0181,0.0389,-0.0183,0.0137,0.0309,-0.0063,0.0447,0.025,0.0279,0.0243,0.0389,0.0156,0.0369,0.1498,0.0544,0.0738,0.19,0.0822,0.0555,0.064,0.1001,0.0591,0.2255,0.0928,0.0978,0.0724,0.0302,0.0274,0.0485,0.0735
000012,20060429,20060731,20061026,20070320,20070420,20070813,20071005,20080318,20080416,20080804,20081020,20090331,20090421,20090803,20091019,20100329,20100415,20100721,20101022,20110321,20110421,20110808,20111025,20120326,20120424,20120820,20121029,20130325,20130425,20130805,20131021,20140324,20140422,20140804,20141028,20150330,20150429,20150817,20151027,20160324,20160424,20160815,20161027,20170428,20170428,20170821,20171026,20180422,20180427,20180827,20181029,20190416,20190425,20190822,20191027,20200430,20200430,20200823,20201025,20210414,20210423,20210826,20211029,20220424,20220428,20220830,20221024,20230425,20230425,20230828,20231030,20240425,20240428,20240825,20241029
EPS,0.0186,0.0416,0.0412,0.0279,0.0202,0.0376,0.0566,0.0467,0.0687,0.0723,0.0445,-0.0409,0.0202,0.0659,0.1051,0.0841,0.097,0.1114,0.1375,0.1369,0.1375,0.1398,0.0894,0.0226,0.0412,0.0414,0.055,-0.0424,0.0344,0.0815,0.0894,0.3008,0.0412,0.1544,0.0481,0.0452,0.0275,0.0409,0.0619,0.0459,0.0687,0.0868,0.0825,0.0274,0.0553,0.0738,0.1053,0.0379,0.0553,0.07,0.0369,-0.0051,0.0455,0.0784,0.06,-0.0025,0.04,0.0909,0.11,0.0171,0.19,0.2538,0.0512,0.0054,0.12,0.2011,0.2115,0.1259,0.13,0.1606,0.188,0.0615,0.11,0.1328,0.0174
000016,20060426,20060819,20061024,20070418,20070425,20070824,20071031,20080407,20080424,20080822,20081028,20090429,20090429,20090826,20091022,20100429,20100429,20100830,20101026,20110414,20110427,20110826,20111028,20120426,20120427,20120827,20121025,20130427,20130422,20130830,20131029,20140403,20140414,20140827,20141027,20150402,20150428,20150829,20151028,20160408,20160429,20160829,20161028,20170331,20170429,20170825,20171027,20180330,20180427,20180830,20181031,20190329,20190429,20190806,20191030,20200421,20200429,20200827,20201030,20210323,20210428,20210827,20211027,20220329,20220427,20220824,20221027,20230327,20230428,20230827,20231030,20240401,20240428,20240830,20241030
EPS,0.0101,0.0019,0.0062,0.0225,0.0109,0.0082,0.0055,NA,0.0196,0.0185,0.0446,0.0331,0.0165,0.0165,0.011,0.0187,0.0148,0.0064,0.0043,0.0095,-0.0319,-0.0491,0.0128,0.0786,0.0043,0.0005,0.0023,0.012,0.0059,0.0109,0.0005,0.0018,0.004,0.0145,0.0007,0.0021,0.0032,-0.1265,-0.4612,-0.168,0.0035,0.0018,-0.0237,0.0581,0.0109,0.0019,0.0407,2.0466,0.0232,0.1188,0.0366,-0.0077,0.0355,0.111,0.0406,-0.099,-0.0916,0.1309,0.2162,-0.0572,0.0302,0.0052,-0.088,0.4285,0.0433,0.0286,-0.0151,-0.6675,0.0633,-0.1436,-0.2166,-0.6017,-0.2119,-0.2398,-0.2153
000021,20060424,20060824,20061026,20070422,20070426,20070822,20071027,20080419,20080428,20080826,20081031,20090422,20090429,20090827,20091030,20100423,20100429,20100830,20101028,20110330,20110429,20110830,20111026,20120330,20120427,20120830,20121028,20130328,20130427,20130829,20131030,20140330,20140429,20140829,20141030,20150329,20150427,20150827,20151028,20160330,20160426,20160830,20161030,20170330,20170428,20170824,20171030,20180411,20180427,20180817,20181030,20190419,20190429,20190830,20191030,20200423,20200429,20200830,20201029,20210429,20210429,20210825,20211027,20220420,20220429,20220825,20221027,20230420,20230428,20230829,20231026,20240410,20240429,20240829,20241029
EPS,0.0611,0.0621,0.0638,0.0625,0.2867,0.0657,0.0527,0.1325,0.0535,0.0474,0.0581,0.0856,0.0306,0.047,0.0481,0.0703,0.0572,0.0793,0.063,0.0918,0.0328,0.0482,0.0589,0.0508,0.0346,0.0155,0.0038,0.017,0.0247,0.0417,0.0486,0.0551,-0.0786,0.0727,0.0976,0.0265,0.0345,0.0577,0.0012,0.0274,0.1027,0.0452,0.0584,-0.0606,0.0793,0.1296,0.1098,0.0491,0.0581,0.0587,0.1829,0.0909,0.0711,0.0317,0.0839,0.0527,0.0553,0.0751,0.1727,0.2795,0.136,0.0477,0.1562,0.1657,0.1552,0.1368,0.0767,0.0536,0.0647,0.1255,0.0959,0.1269,0.078,0.1528,0.1929
000024,20060417,20061024,20070320,20070420,20070810,20071029,20080219,20080414,20080829,20081021,20090330,20090420,20090817,20091026,20100420,20100419,20100726,20101018,20110321,20110419,20110808,20111018,20120319,20120418,20120810,20121017,20130318,20130418,20130821,20131023,20140317,20140417,20140818,20141020,20150309,20150429,20150824,20151026
EPS,NA,0.0533,0.3003,0.0458,0.2262,0.0409,0.386,0.0178,0.0956,0.1005,0.3891,0.0667,0.1228,0.184,0.2652,0.1494,0.2583,0.146,0.2269,0.22,0.3521,0.2391,0.1969,0.1667,0.3071,0.4651,0.3492,0.3147,0.6755,0.4067,0.2272,0.2933,0.3999,0.18,0.7853,0.25,0.5793,0.03
000027,20060429,20060814,20061018,20070416,20070426,20070718,20071031,20080428,20080428,20080822,20081028,20090417,20090423,20090818,20091027,20100415,20100428,20100817,20101028,20110127,20110426,20110818,20111025,20120209,20120425,20120724,20121024,20130417,20130427,20130814,20131024,20140327,20140424,20140815,20141029,20150326,20150428,20150820,20151029,20160414,20160429,20160825,20161027,20170407,20170427,20170825,20171030,20180412,20180427,20180822,20181030,20190403,20190429,20190821,20191030,20200429,20200429,20200825,20201028,20210419,20210429,20210826,20211028,20220421,20220428,20220823,20221030,20230419,20230427,20230825,20231030,20240419,20240429,20240822,20241030
EPS,0.0509,0.0637,0.0721,0.3437,0.1719,0.2016,0.1157,0.0439,0.0556,0.0465,0.0833,0.0285,0.037,0.1801,0.1481,0.0541,0.0926,0.0952,0.0972,0.0132,0.0602,0.0865,0.0611,0.0295,0.05,0.0701,0.0593,0.0258,0.0487,0.0851,0.0947,0.077,0.0889,0.1309,0.1067,0.1036,0.0766,0.1392,0.1183,0.0424,0.0429,0.1362,0.1021,0.0019,0.0236,0.0612,0.0842,-0.0114,0.0127,0.1001,0.0141,0.0182,0.0773,0.1396,0.1431,-0.0024,0.0441,0.5531,0.2216,0.0187,0.1284,0.2838,0.2095,-0.2485,0.0841,0.0921,0.1723,-0.0722,0.1085,0.2367,0.2664,-0.3636,0.2074,0.1116,0.1029
000029,20060424,20060822,20061028,20070419,20070427,20070823,20071031,20080422,20080424,20080821,20081022,20090421,20090422,20090814,20091022,20100420,20100426,20100823,20101028,20110503,20110429,20110826,20111021,20120331,20120418,20120830,20121030,20130329,20130424,20130820,20131022,20140328,20140423,20140822,20141022,20150327,20150428,20150829,20151030,20160329,20160429,20160827,20161026,20170329,20170426,20170829,20171025,20180328,20180426,20180828,20181030,20190328,20190418,20190820,20191029,20200313,20200429,20200818,20201029,20210319,20210428,20210827,20211025,20220317,20220429,20220825,20221028,20230317,20230428,20230827,20231027,20240329,20240426,20240823,20241030
EPS,0.0039,0.005,0.0039,0.0285,0.0004,0.0133,0.0051,NA,0.002,0.0117,0.003,0.0021,0.0008,0.0068,0.0035,0.0089,0.0054,0.058,0.0128,0.0075,0.0227,0.0408,0.0221,0.0143,0.022,0.0178,0.02,0.0429,0.0035,0.0094,0.003,0.2092,0.02,0.0126,0.022,0.2383,0.0246,0.1596,0.047,0.0664,0.0308,0.1024,0.1009,0.0738,0.0342,0.1014,0.0122,0.035,-0.0059,0.3312,0.0444,0.128,0.0831,0.2463,0.1051,0.1116,0.0278,0.0684,0.1004,0.0903,0.087,0.0439,0.0307,0.0566,0.1604,-0.017,-0.0198,0.0283,-0.0352,-0.0014,0.0007,-0.2119,0.0019,0.0037,-0.0006
000031,20060418,20060822,20061026,20070209,20070418,20070829,20071029,20080418,20080429,20080826,20081029,20090424,20090422,20090825,20091030,20100309,20100429,20100823,20101022,20110421,20110426,20110830,20111028,20120330,20120424,20120829,20121023,20130329,20130425,20130828,20131028,20140411,20140429,20140826,20141029,20150417,20150429,20150828,20151029,20160325,20160429,20160830,20161030,20170317,20170427,20170830,20171030,20180316,20180426,20180828,20181030,20190403,20190429,20190828,20191030,20200330,20200430,20200828,20201029,20210326,20210428,20210829,20211029,20220411,20220427,20220829,20221030,20230425,20230428,20230829,20231030,20240426,20240429,20240830,20241030
EPS,0.0167,0.038,0.0136,0.0493,0.01,0.1825,0.0045,0.1046,0.02,0.0378,0.0001,0.0223,-0.01,0.0056,0.07,0.175,0.02,0.0212,0.03,0.2427,0.03,0.0303,0.01,0.1644,0.03,0.0045,-0.01,0.2618,0.03,0.0257,0.002,0.2324,0.04,0.0387,0.01,0.2434,0.04,0.0598,0.18,0.0748,0.1,-0.0152,-0.05,0.3596,0.08,0.0069,0.2,0.2312,0.5164,0.1091,0.1628,0.265,0.3,0.1663,0.12,-0.0767,0.04,0.0877,0.05,-0.2676,0.06,0.0806,0.1171,-0.2354,-0.02,0.0436,0.0011,-0.6937,0.04,-0.0281,-0.1291,-0.2246,-0.02,-0.063,-0.0521
000036,20060426,20060829,20061030,20070427,20070426,20070816,20071031,20080430,20080429,20080829,20081030,20090427,20090427,20090826,20091029,20100414,20100428,20100823,20101026,20110426,20110426,20110829,20111028,20120424,20120426,20120828,20121028,20130423,20130427,20130828,20131027,20140421,20140427,20140827,20141029,20150427,20150429,20150829,20151030,20160426,20160429,20160830,20161030,20170427,20170428,20170830,20171030,20180426,20180427,20180830,20181030,20190430,20190429,20190830,20191030,20200427,20200429,20200830,20201030,20210419,20210428,20210829,20211026,20220428,20220429,20220829,20221026,20230413,20230428,20230824,20231030,20240428,20240429,20240829,20241030
EPS,0.0154,0.0173,0.0669,0.0368,0.0077,0.0128,-0.0538,-0.2278,-0.0194,-0.0175,-0.1602,-0.0785,0.0804,0.0467,0.0565,0.0092,0.0208,0.0062,0.0045,0.1264,0.0171,0.0184,0.0108,0.0011,0.0245,0.0034,0.0018,0.0107,0.0007,0.0008,0.0418,0.0113,0.0008,0.0003,-0.0002,0.0229,-0.0062,-0.0048,0.0092,0.0488,0.0637,0.2321,0.0299,0.5938,0.5111,0.1997,0.02,0.1767,0.071,0.1854,0.2415,0.1553,0.1832,0.126,0.1008,0.1409,0.21,0.0889,0.06,0.0129,0.07,0.0227,0.0152,0.1664,0.02,0.0119,0.0132,0.245,0.02,-0.0018,0.0158,0.021,0.01,0.0089,0.0032
000039,20060425,20060807,20061026,20070317,20070426,20070817,20071026,20080402,20080428,20080821,20081027,20090331,20090427,20090819,20091027,20100322,20100426,20100823,20101027,20110322,20110425,20110823,20111027,20120322,20120425,20120824,20121029,20130321,20130426,20130827,20131029,20140325,20140425,20140825,20141027,20150324,20150427,20150827,20151027,20160328,20160428,20160830,20161027,20170327,20170427,20170828,20171027,20180327,20180427,20180828,20181029,20190327,20190429,20190827,20191028,20200326,20200429,20200827,20201027,20210329,20210427,20210827,20211027,20220328,20220427,20220829,20221027,20230328,20230427,20230829,20231030,20240327,20240429,20240828,20241029
EPS,0.108,0.1738,0.1396,0.1223,0.1204,0.1694,0.126,0.259,0.0847,0.1294,0.1389,-0.0615,0.0874,0.0849,-0.0111,0.0382,0.0722,0.1165,0.2947,0.1412,0.2834,0.3024,0.1072,0.0771,0.0783,0.1165,0.1358,0.074,0.0458,0.0694,0.0887,0.2511,0.0267,0.1891,0.1222,0.178,0.1034,0.2122,0.0422,0.049,0.0717,-0.1568,0.0351,0.1234,0.0902,0.0469,0.0907,0.2139,0.0783,0.0966,0.2516,0.1834,0.0662,0.0324,-0.0174,0.1499,-0.1286,0.0632,0.1493,0.8339,0.2701,0.4987,0.8255,-0.4095,0.3151,0.1543,0.1044,0.0086,0.0267,0.0442,0.015,-0.0257,0.0126,0.1401,0.1788
000046,20060426,20060805,20061019,20070420,20070423,20070728,20071024,20080218,20080417,20080814,20081029,20090302,20090424,20090814,20091026,20100301,20100423,20100823,20101027,20110415,20110428,20110829,20111025,20120421,20120427,20120829,20121026,20130419,20130427,20130823,20131025,20140327,20140423,20140814,20141028,20150403,20150429,20150827,20151030,20160330,20160427,20160826,20161030,20170424,20170428,20170830,20171030,20180427,20180427,20180830,20181030,20190416,20190429,20190827,20191030,20200428,20200429,20200828,20201030,20210429,20210429,20210829,20211029,20220429,20220429,20220830,20221030,20230428,20230428,20230830,20231030
EPS,0.0275,0.0025,-0.0008,0.1107,0.0088,0.069,0.021,0.0605,0.0088,0.021,0.0075,0.0002,0.0025,0.0252,0.0205,0.041,0.022,-0.0038,0.0215,-0.013,-0.008,0.0005,0.046,0.0217,-0.0037,0.0103,0.045,0.1198,0.0177,0.0265,0.0432,0.1881,0.023,0.0328,0.0231,0.2628,0.0645,0.0959,0.14,0.1941,0.0368,0.1399,0.1791,0.2439,0.0836,0.0903,0.0612,0.3212,0.2923,-0.0356,0.093,-0.1706,0.4012,-0.0668,0.1454,-0.2691,-0.0236,-0.0556,-0.0386,-0.7717,-0.0288,-0.0751,-0.2409,-1.8211,-0.1535,-0.248,-0.0296,-1.789,-0.2517,-0.5569,-0.5168
000059,20060420,20060809,20061018,20070319,20070414,20070807,20071025,20080408,20080421,20080819,20081018,20090309,20090416,20090820,20091021,20100317,20100419,20100806,20101020,20110321,20110415,20110802,20111019,20120314,20120417,20120827,20121021,20130228,20130419,20130816,20131023,20140326,20140423,20140813,20141016,20150413,20150414,20150817,20151019,20160323,20160414,20160826,20161020,20170418,20170428,20170815,20171025,20180409,20180419,20180730,20181022,20190419,20190422,20190820,20191021,20200402,20200413,20200811,20201029,20210409,20210426,20210826,20211022,20220412,20220426,20220824,20221025,20230413,20230428,20230830,20231030,20240412,20240426,20240828,20241015
EPS,0.03,0.0651,0.0096,0.042,0.14,0.1067,0.0379,0.0716,0.108,0.0872,0.116,0.0093,0.08,0.0974,0.018,-0.0249,0.08,0.0999,-0.194,0.3563,0.34,0.0504,0.05,0.2579,0.14,-0.2075,-0.4,0.4835,-0.07,-0.2027,-0.15,0.3106,-0.26,-0.3538,-0.19,-0.4447,-0.0904,0.2567,-0.1013,0.1629,0.2879,0.278,0.0839,0.3937,0.2804,0.238,0.2505,0.3848,0.1942,0.2826,0.1853,0.0533,0.2359,0.1388,0.2005,0.0456,-0.5549,0.1366,0.314,0.3073,0.3236,0.0952,-0.1195,0.29,0.1776,0.1356,0.0074,0.0103,-0.3113,-0.111,0.1771,0.289,-0.3133,-0.1512,-0.7167
000060,20060414,20060821,20061012,20070331,20070424,20070817,20071022,20080319,20080421,20080822,20081027,20090420,20090429,20090820,20091028,20100325,20100426,20100830,20101027,20110330,20110428,20110825,20111028,20120330,20120427,20120824,20121030,20130412,20130427,20130823,20131029,20140326,20140428,20140825,20141029,20150401,20150428,20150825,20151027,20160330,20160427,20160826,20161027,20170331,20170428,20170827,20171027,20180402,20180427,20180828,20181030,20190330,20190428,20190828,20191027,20200309,20200429,20200828,20201028,20210330,20210429,20210830,20211029,20220328,20220427,20220829,20221027,20230409,20230427,20230829,20231030,20240424,20240428,20240827,20241028
EPS,0.0061,0.1051,0.1525,0.094,0.0902,0.1169,0.1087,0.0633,0.0898,0.106,0.0496,-0.1337,0.0033,0.0309,0.0335,0.0657,0.0463,0.0523,0.0308,0.099,0.0359,0.0776,0.12,0.0761,0.0293,0.0382,0.0333,0.0415,0.0287,0.0103,0.0133,0.0786,0.0267,0.0275,0.08,0.0194,0.0187,0.0307,-0.0178,0.0301,-0.0133,0.0291,0.0333,0.048,0.0667,0.1004,0.0933,0.0572,0.0867,0.083,0.05,0.0421,0.07,0.0588,0.05,0.0605,0.04,0.064,0.0714,0.1035,0.07,0.1137,0.0907,0.0472,0.09,0.1413,0.0527,0.0446,0.09,0.0589,0.047,-0.0076,0.06,0.081,0.0689
000061,20060420,20060810,20061023,20070423,20070425,20070809,20071024,20080329,20080422,20080808,20081024,20090422,20090422,20090811,20091023,20100421,20100421,20100820,20101029,20110411,20110503,20110830,20111027,20120406,20120427,20120822,20121030,20130426,20130426,20130827,20131025,20140429,20140429,20140828,20141030,20150429,20150429,20150829,20151030,20160430,20160429,20160829,20161026,20170423,20170423,20170827,20171024,20180426,20180426,20180829,20181029,20190427,20190427,20190827,20191029,20200428,20200428,20200828,20201029,20210428,20210428,20210827,20211028,20220426,20220426,20220829,20221027,20230426,20230426,20230828,20231027,20240417,20240429,20240830,20241030
EPS,0.0092,-0.0144,0.0065,0.0553,0.0098,0.0223,0.0196,0.095,0.0359,0.025,0.0098,-0.0258,0.0229,0.0768,0.0111,-0.0426,0.0222,0.1946,0.0111,-0.0328,0.0111,0.0996,0.0389,-0.0004,0.0333,0.0345,0.0147,-0.0326,0.007,0.0154,0.0134,0.0297,-0.01,0.0247,0.0173,0.0144,-0.0032,0.0294,0.0012,-0.0152,0.0024,0.0167,0.107,-0.074,0.0029,0.003,-0.0044,0.0066,0.0018,-0.0122,0.0382,-0.0026,0.03,0.024,0.0427,0.086,0.0283,0.0839,0.0496,0.024,0.0404,0.0882,0.0437,0.0483,0.0413,0.0389,-0.0045,0.0436,0.0514,0.0619,0.0587,0.0925,0.0486,0.0768,0.0592
000063,20060425,20060828,20061025,20070418,20070425,20070816,20071025,20080319,20080424,20080820,20081023,20090319,20090423,20090819,20091027,20100408,20100427,20100819,20101027,20110328,20110420,20110830,20111027,20120328,20120425,20120822,20121025,20130327,20130426,20130722,20131022,20140326,20140417,20140820,20141023,20150325,20150423,20150826,20151027,20160406,20160426,20160830,20161027,20170328,20170417,20170824,20171018,20180328,20180427,20180830,20181027,20190328,20190429,20190830,20191028,20200327,20200426,20200828,20201028,20210316,20210428,20210827,20211025,20220308,20220425,20220826,20221025,20230310,20230421,20230818,20231023,20240308,20240425,20240816,20241021
EPS,0.0089,0.0902,0.0204,0.0839,0.0082,0.1137,0.0379,0.1721,0.0161,0.1316,0.0677,0.2239,0.0214,0.1868,0.1065,0.3201,0.0278,0.186,0.1181,0.4576,0.0347,0.1555,0.075,0.2402,0.0333,0.0228,-0.475,-0.2763,0.05,0.0254,0.0583,0.1954,0.15,0.1227,0.1667,0.1944,0.214,0.1776,0.24,0.1096,0.23,0.1967,0.2929,-1.2795,0.29,0.2577,0.38,0.1583,-1.29,-0.5765,0.14,0.0658,0.21,0.145,0.63,0.2413,0.18,0.2336,0.19,0.3357,0.47,0.4114,0.3836,0.2033,0.47,0.4962,0.48,0.2661,0.56,0.595,0.5,0.3104,0.57,0.6254,0.45
000066,20060424,20060824,20061026,20070422,20070424,20070822,20071027,20080419,20080429,20080827,20081031,20090422,20090429,20090827,20091030,20100423,20100429,20100830,20101029,20110330,20110429,20110831,20111028,20120329,20120426,20120830,20121030,20130419,20130427,20130829,20131030,20140421,20140429,20140829,20141030,20150417,20150429,20150828,20151030,20160428,20160429,20160830,20161030,20170428,20170428,20170830,20171030,20180427,20180427,20180830,20181030,20190429,20190429,20190830,20191030,20200429,20200429,20200828,20201030,20210429,20210429,20210830,20211029,20220429,20220429,20220830,20221028,20230428,20230428,20230825,20231027,20240429,20240429,20240830,20241030
EPS,0.0292,0.0186,0.0125,-0.0151,0.025,0.058,0.0083,-0.0015,0.0042,0.0408,-0.01,-0.014,0.0135,0.0778,0.095,0.217,0.078,0.0314,0.024,0.0588,0.041,0.0346,-0.007,0.0082,0.003,-0.0004,0.006,-0.1896,0.003,0.0002,-0.013,0.0323,-0.07,0.0051,0.046,0.0085,-0.0705,-0.0128,-0.0212,0.0776,0.0163,0.0447,0.018,0.0298,0.056,0.0432,0.009,0.0959,0.051,0.0338,-0.015,0.2659,0.019,0.0454,0.013,0.3032,-0.0481,-0.0063,0.047,0.3724,-0.05,0.0258,0.0633,0.1683,-0.037,-0.055,-0.0499,0.1792,-0.095,-0.1015,-0.0615,-0.0454,-0.077,-0.0533,-0.0825
000068,20060418,20060825,20061020,20070208,20070420,20070816,20071022,20080321,20080424,20080814,20081023,20090326,20090422,20090814,20091016,20100330,20100422,20100810,20101021,20110322,20110415,20110810,20111020,20120315,20120419,20120821,20121026,20130325,20130419,20130813,20131025,20140317,20140428,20140827,20141029,20150323,20150428,20150827,20151029,20160316,20160420,20160811,20161030,20170321,20170419,20170828,20171030,20180416,20180416,20180827,20181029,20190420,20190429,20190826,20191030,20200427,20200427,20200824,20201028,20210426,20210426,20210816,20211027,20220304,20220428,20220830,20221027,20230429,20230428,20230823,20231026,20240327,20240424,20240827,20241028
