Period,AMZN.O,WMT,COST.O,HD,PM,MCD,TJX,LOW,CVS,MCK,ORLY.O,CMG,AZO,PCAR.O,COR,GM,TGT,KR,ROST.O,F,CAH,CDW.O,DRI,TSN,DG,GPC,HRL,NWSA.O,BBY,RS,BURL.K,BJ,BLDR.K,DLTR.O,CHWY.K,SFM.O,ACI,RIVN.O,PFGC.K,SJM,PPC.O,COKE.O,TXRH.O,SNX,GME
2025/1/1,237.68,98.16,979.88,411.98,130.2,288.7,124.79,260.04,56.48,594.75,1294.42,58.35,3350.21,110.88,254.21,49.46,137.91,61.64,150.56,9.920504,123.66,199.14,195.24,56.49,71.06,116.25,29.98,28.12,85.86,289.5,283.93,99.05,167.28,73.35,38.98,158.34,20.05,12.56,90.31,106.89,46.54,1367.62,181.1,142.51,26.9
2024/12/1,219.39,90.35,916.27,388.99,120.35,289.89,120.81,246.8,44.89,569.91,1185.8,60.3,3202,104.02,224.68,53.27,135.18,61.15,151.27,9.743352,118.27,174.04,186.69,57.44,75.82,116.76,31.37,27.54,85.8,269.26,285.06,89.35,142.93,74.94,33.49,127.07,19.64,13.3,84.55,110.12,45.39,1259.99,180.43,117.28,31.34
2024/11/1,207.89,92.5,971.88,429.13,133.06,296.01,125.69,272.43,59.85,628.5,1243.22,61.52,3169.54,117,251.55,55.59,132.31,61.08,154.87,10.95389,122.24,175.93,176.27,64.5,77.27,126.73,32.43,29.35,90,321.24,281.88,96.3,186.47,71.27,33.41,154.48,19.85,12.23,88.24,117.79,51.61,1304.29,205.27,118.99,29.05
2024/10/1,186.4,81.95,874.18,393.75,132.7,292.11,113.03,261.83,56.46,500.59,1153.14,55.77,3009,104.28,228.08,50.76,150.04,55.77,139.72,10.127181,108.52,188.23,160.02,58.59,80.04,114.7,30.55,27.25,90.43,286.34,247.77,84.73,171.4,64.64,26.97,128.43,18.1,10.1,81.25,113.51,48.44,1124.26,191.12,115.35,22.18
2024/9/1,186.33,80.75,886.52,405.2,121.4,304.51,117.54,270.85,62.88,494.42,1151.6,57.62,3150.04,98.68,225.08,44.84,155.86,57.3,150.51,10.392909,110.52,226.3,164.13,59.56,84.57,139.68,31.7,26.63,103.3,289.21,263.48,82.48,193.86,70.32,29.29,110.41,18.48,11.22,78.37,121.1,46.05,1316.4,176.6,120.08,22.93
2024/8/1,178.5,77.23,892.38,368.5,123.29,288.66,117.27,248.5,57.24,561.08,1129.97,56.08,3181.48,96.18,239.57,49.78,153.62,53.21,150.61,11.012941,112.72,225.64,158.15,64.31,82.97,143.26,32.55,28.33,100.4,286.65,268.24,79.96,174,84.49,28.55,104.05,19.62,14.13,74.64,114.68,46.58,1342.4,168.75,121.42,23.42
2024/7/1,186.98,68.64,822,368.16,115.16,265.4,113.02,245.51,60.33,617.02,1126.34,54.32,3133.69,98.66,237.88,44.32,150.41,54.5,143.23,10.648795,100.83,218.11,146.29,60.9,120.39,147.11,32.11,27.58,86.52,304.56,260.32,87.96,167.37,104.34,24.18,99.89,19.83,16.41,69,117.95,41.23,1145.89,174.61,119.17,22.67
2024/6/1,193.25,67.71,849.99,344.24,101.33,254.84,110.1,220.46,59.06,584.04,1056.06,62.65,2964.1,102.94,225.3,46.46,148.04,49.93,145.32,12.34158,98.32,223.84,151.32,57.14,132.23,138.32,30.49,27.57,84.29,285.6,240,87.84,138.41,106.77,27.24,83.66,19.75,13.42,66.11,109.04,38.49,1085,171.71,115.4,24.69
2024/5/1,176.44,65.76,809.89,334.87,101.38,258.89,103.1,221.29,59.6,569.59,963.26,62.5904,2769.94,107.5,226.57,44.99,156.16,52.37,139.76,11.938067,99.27,223.62,150.39,57.25,136.91,144.14,30.98,27.19,84.82,300.78,240.05,88.07,160.79,117.95,21.21,78.98,20.64,10.92,69.6,111.64,35.93,981.04,172.67,130.84,23.14
2024/4/1,175,59.35,722.9,334.22,94.94,273.04,94.09,227.99,67.71,537.21,1013.26,63.192,2956.4,106.11,239.05,44.53,160.98,55.38,129.55,11.957751,103.04,241.86,153.41,60.65,139.19,157.21,35.56,23.8,73.64,284.72,179.94,74.68,182.82,118.25,14.99,66.03,20.4,8.9,67.88,114.85,36.02,826,160.78,117.84,11.09
