Period,V,MA,UNH,NFLX.O,UBER.K,BLK,UNP,FI,MMC,KKR,ELV,CI,AJG,DASH.O,APO,RSG,PYPL.O,MAR.O,BK,CSX.O,HLT,MET,TFC
2025-01-01,341.8,555.43,542.49,976.76,66.85,1075.5,247.79,216.04,216.88,167.07,395.7,294.21,301.82,188.83,170.98,216.87,88.58,290.59,85.93,32.87,256.07,86.51,47.62
2024-12-01,316.04,526.57,505.86,891.32,60.32,1025.11,228.04,205.42,212.41,147.91,368.9,276.14,283.85,167.75,165.16,201.18,85.35,278.94,76.83,32.27,247.16,81.88,43.38
2024-11-01,315.08,532.94,610.2,886.81,71.96,1022.8,244.66,220.96,233.23,162.87,406.96,337.8,312.24,180.48,175.03,218.3,86.77,289.09,81.87,36.55,253.44,88.23,47.68
2024-10-01,289.85,499.59,564.5,756.03,72.05,981.03,232.07,197.9,218.24,138.24,405.76,314.81,281.2,156.7,143.26,198.0,79.3,260.02,75.36,33.64,234.85,78.42,43.05
2024-09-01,274.95,493.8,584.68,709.27,75.16,949.51,246.48,179.65,223.09,130.58,520.0,346.44,281.37,142.73,124.91,200.84,78.03,248.6,71.86,34.53,230.5,82.48,42.77
2024-08-01,276.37,483.34,590.2,701.35,73.13,901.81,256.09,174.6,227.51,123.77,556.89,361.81,292.57,128.71,115.73,208.21,72.43,234.69,68.22,34.27,219.64,77.48,44.46
2024-07-01,265.67,463.71,576.16,628.35,64.47,876.5,246.73,163.57,222.57,123.45,532.03,348.67,283.49,110.72,125.31,194.32,65.78,227.3,65.07,35.1,214.67,76.85,44.69
2024-06-01,262.47,441.16,509.26,674.88,72.68,787.32,226.26,149.04,210.72,105.24,541.86,330.57,259.31,108.78,118.07,194.34,58.03,241.77,59.89,33.45,218.2,70.19,38.85
2024-05-01,272.46,447.07,495.37,641.62,64.56,772.03,232.82,149.76,207.58,102.84,538.48,344.62,253.33,110.11,116.16,185.19,62.99,231.17,59.61,33.75,200.6,72.37,37.75
2024-04-01,268.61,451.2,483.7,550.64,66.27,754.64,237.16,152.67,199.43,93.07,528.58,357.04,234.69,129.26,108.38,191.7,67.92,236.13,56.49,33.22,197.28,71.08,37.55
2024-03-01,279.08,481.57,494.7,607.33,76.99,833.7,245.93,159.82,205.98,100.58,518.54,363.19,250.04,137.72,112.45,191.44,66.99,252.31,57.62,37.07,213.31,74.11,38.98
2024-02-01,282.64,474.76,493.6,602.92,79.5,811.34,253.69,149.27,202.27,98.26,501.25,336.14,243.93,124.57,111.8,183.6,60.34,249.87,56.09,37.94,204.32,69.74,34.98
2024-01-01,273.26,449.23,511.74,564.11,65.27,774.31,243.93,141.87,193.84,86.58,493.44,300.95,232.16,104.2,100.4,171.12,61.35,239.73,55.46,35.7,190.96,69.32,37.06
2023-12-01,260.35,426.51,526.47,486.88,61.57,811.8,245.62,132.84,189.47,82.85,471.56,299.45,224.88,98.89,93.19,164.91,61.41,225.51,52.05,34.67,182.09,66.13,36.92
2023-11-01,256.68,413.83,552.97,473.97,56.38,751.23,225.27,130.61,199.42,75.84,479.49,262.88,249.0,93.98,92.0,161.84,57.61,202.7,48.32,32.3,167.52,63.63,32.14
2023-10-01,235.1,376.35,535.56,411.69,43.28,612.28,207.61,113.75,189.65,55.4,450.09,309.2,235.49,74.95,77.44,148.49,51.8,188.56,42.5,29.85,151.53,60.01,28.36
2023-09-01,230.01,395.91,504.19,377.6,45.99,646.49,203.63,112.96,190.3,61.6,435.42,286.07,227.93,79.47,89.76,142.51,58.46,196.56,42.65,30.75,150.18,62.91,28.61
2023-08-01,245.68,412.64,476.58,433.68,47.23,700.54,220.57,121.39,194.99,62.81,442.01,276.26,230.48,84.13,87.34,144.13,62.51,203.51,44.87,30.2,148.65,63.34,30.55
2023-07-01,237.73,394.28,506.37,438.97,49.46,738.85,232.02,126.21,188.42,59.38,471.63,295.1,214.8,90.79,81.71,151.11,75.82,201.81,45.36,33.32,155.49,62.97,33.22
2023-06-01,237.48,393.3,480.64,440.49,43.17,691.14,204.62,126.15,188.08,56.0,444.29,280.6,219.57,76.42,76.81,153.17,66.73,183.69,44.52,34.1,145.55,56.53,30.35
2023-05-01,221.03,365.02,487.24,395.23,37.93,657.55,192.52,112.19,173.18,51.49,447.82,247.41,200.33,65.29,66.85,141.63,61.99,167.79,40.2,30.67,136.12,49.55,30.47
2023-04-01,232.73,380.03,492.09,329.93,31.05,671.2,195.7,122.12,180.19,53.07,468.65,253.29,208.06,61.19,63.39,144.62,76.0,169.34,42.59,30.64,144.02,61.33,32.58
2023-03-01,225.46,363.41,472.59,345.48,31.7,669.12,201.26,113.03,166.55,52.52,459.81,255.53,191.31,63.56,63.16,135.22,75.94,166.04,45.44,29.94,140.87,57.94,34.1
2023-02-01,219.94,355.29,475.94,322.13,33.26,689.43,207.28,115.09,162.14,56.35,469.67,292.1,187.35,54.66,70.9,128.93,73.6,169.24,50.88,30.49,144.51,71.73,46.95
2023-01-01,230.21,370.6,499.19,353.86,30.93,759.21,204.19,106.68,174.91,55.81,499.99,316.67,195.72,57.92,70.78,124.82,81.49,174.18,50.57,30.92,145.09,73.02,49.39
2022-12-01,207.76,347.73,530.18,294.88,24.73,708.63,207.07,101.07,165.48,46.42,512.97,331.34,188.54,48.82,63.79,128.99,71.22,148.89,45.52,30.98,126.36,72.37,43.03
2022-11-01,217.0,356.4,547.76,305.53,29.14,716.0,217.43,104.36,173.18,51.92,532.92,328.89,199.11,58.25,69.39,139.29,78.41,165.35,45.9,32.69,142.62,76.7,46.81
2022-10-01,207.16,328.18,555.15,291.88,26.57,645.91,197.14,102.74,161.49,48.63,546.77,323.06,187.08,43.53,55.36,132.62,83.58,160.11,42.11,29.06,135.26,73.21,44.79
2022-09-01,177.65,284.34,505.04,235.44,26.5,550.28,194.82,93.57,149.29,43.0,454.24,277.47,171.22,49.45,46.5,136.04,86.07,140.14,38.52,26.64,120.62,60.78,43.54
2022-08-01,198.71,324.37,519.33,223.56,28.76,666.39,224.51,101.19,161.37,50.56,485.11,283.45,181.57,59.9,55.58,142.72,93.44,153.74,41.53,31.65,127.36,64.33,46.84
2022-07-01,212.11,353.79,542.34,224.9,23.45,669.18,227.3,105.68,163.96,55.46,477.1,275.36,178.99,69.75,57.1,138.66,86.53,158.82,43.46,32.33,128.07,63.25,50.47
2022-06-01,196.89,315.48,513.63,174.87,20.46,609.04,213.28,88.97,155.25,46.29,482.58,263.52,163.04,64.17,48.48,130.87,69.84,136.01,41.71,29.06,111.44,62.79,47.43
2022-05-01,212.17,357.87,496.78,197.44,23.2,669.08,219.78,100.18,159.95,54.81,509.61,268.29,161.94,76.91,57.64,133.84,85.21,171.58,46.61,31.79,140.86,67.39,49.74
2022-04-01,213.13,363.38,508.55,190.36,31.48,624.68,234.29,97.92,161.7,50.97,501.93,246.78,168.49,81.43,49.76,134.27,87.93,177.52,42.06,34.34,155.29,65.68,48.35
2022-03-01,221.77,357.38,509.97,374.59,35.68,764.17,273.21,101.4,170.42,58.47,491.22,239.61,174.6,117.19,61.99,132.5,115.65,175.75,49.63,37.45,151.74,70.28,56.7
2022-02-01,216.12,360.82,475.87,394.52,36.03,743.89,245.95,97.67,155.41,60.12,451.85,237.78,158.19,104.95,65.26,120.28,111.93,170.14,53.15,33.91,148.86,67.55,62.22
2022-01-01,226.17,386.38,472.57,427.14,37.4,822.94,244.55,105.7,153.64,71.16,440.99,230.46,157.94,113.49,70.0,127.66,171.94,161.12,59.26,34.22,145.11,67.06,62.82
2021-12-01,216.71,359.32,502.14,602.44,41.93,915.56,251.93,103.79,173.82,74.5,463.54,229.63,169.67,148.9,72.43,139.45,188.58,165.24,58.08,37.6,155.99,62.49,58.55
2021-11-01,193.77,314.92,444.22,641.9,38.0,904.61,235.64,96.52,164.02,74.45,406.23,191.9,162.9,178.77,70.78,132.26,184.89,147.56,54.79,34.66,135.07,58.66,59.31
2021-10-01,211.77,335.52,460.47,690.31,43.82,943.46,241.4,98.49,166.8,79.67,435.13,213.61,167.67,194.8,76.95,134.6,232.59,160.02,59.2,36.17,143.95,62.8,63.47
2021-09-01,222.75,347.68,390.74,610.34,44.8,838.66,196.01,108.5,151.43,60.88,372.8,200.16,148.65,205.98,61.59,120.06,260.21,148.09,51.84,29.74,132.11,61.73,58.65
2021-08-01,229.1,346.23,416.27,569.19,39.14,943.29,216.84,117.79,157.2,64.29,375.13,211.65,143.62,191.4,59.78,124.13,288.66,135.14,55.22,32.53,124.86,62.0,57.06
2021-07-01,246.39,385.94,412.22,517.57,43.46,867.17,218.76,115.11,147.22,63.76,384.01,229.49,139.31,174.29,58.86,118.36,275.53,145.98,51.33,32.32,131.45,57.7,54.43
2021-06-01,233.82,365.09,400.44,528.21,50.12,874.97,219.93,106.89,140.68,59.24,381.8,237.07,140.08,178.33,62.2,110.01,291.48,136.52,51.23,32.08,120.62,59.85,55.5
2021-05-01,227.3,360.58,411.92,502.81,50.83,877.04,224.73,115.2,138.35,55.69,398.22,258.85,146.61,150.28,57.34,109.18,260.02,143.58,52.08,33.3733,125.27,65.36,61.78
2021-04-01,233.56,382.06,398.8,513.47,54.77,819.3,222.09,120.12,135.7,56.58,379.39,249.01,144.95,143.17,55.37,106.3,262.29,148.52,49.88,33.5833,128.7,63.63,59.31
2021-03-01,211.73,356.05,372.07,521.66,54.51,753.96,220.41,119.04,121.8,48.85,358.95,241.74,124.77,131.13,47.01,99.35,242.84,148.11,47.29,32.139968,120.92,60.79,58.32
2021-02-01,212.39,353.85,332.22,538.85,51.75,694.5,205.96,115.37,115.22,45.56,303.19,209.9,119.8,169.49,49.46,89.09,259.85,148.07,42.16,30.516636,123.68,57.6,56.96
2021-01-01,193.25,316.29,333.58,532.39,50.93,701.26,197.47,102.69,109.91,38.95,296.98,217.05,115.41,193.27,45.94,90.52,234.31,116.31,39.83,28.584971,101.39,48.15,47.98
2020-12-01,218.73,356.94,350.68,540.73,51.0,721.54,208.22,113.86,117.0,40.49,321.09,208.18,123.71,142.75,48.98,96.3,234.2,131.92,42.44,30.24997,111.26,46.95,47.93
2020-11-01,210.35,336.51,336.34,490.7,49.66,698.35,204.08,115.18,114.64,37.93,311.52,209.14,115.41,142.75,43.62,96.72,214.12,126.87,39.12,30.016637,103.63,46.17,46.42
2020-10-01,181.71,288.64,305.14,475.74,33.41,599.21,177.19,95.47,103.46,34.15,272.8,166.97,103.71,142.75,36.86,88.17,186.13,92.88,34.36,26.313307,87.81,37.85,42.12
2020-09-01,199.97,338.17,311.77,500.03,36.48,563.55,196.87,103.05,114.7,34.34,268.59,169.41,105.58,142.75,44.75,93.35,197.03,92.58,34.34,25.889974,85.32,37.17,38.05
2020-08-01,211.99,358.19,312.55,529.56,33.63,594.19,192.44,99.58,114.91,35.82,281.52,177.37,105.3,142.75,46.87,92.72,204.14,102.91,36.98,25.486641,90.36,38.46,38.81
2020-07-01,190.4,308.53,302.78,488.88,30.26,575.01,173.35,99.79,116.6,35.37,273.8,172.69,107.49,142.75,49.1,87.25,196.07,83.825,35.85,23.779976,75.05,37.85,37.46
2020-06-01,193.17,295.7,294.95,455.04,31.08,544.09,169.07,97.62,107.37,30.88,262.98,187.65,97.49,142.75,49.92,82.05,174.23,85.73,38.65,23.246643,73.45,36.52,37.55
2020-05-01,195.24,300.89,304.85,419.73,36.32,528.64,169.86,106.77,105.92,27.75,294.11,197.32,94.28,142.75,47.6,85.46,155.01,88.5,37.17,23.859976,79.31,36.01,36.78
2020-04-01,178.72,274.97,292.47,419.85,30.27,502.04,159.79,103.06,97.33,25.21,280.73,195.78,78.5,142.75,40.49,78.34,123.0,90.94,37.54,22.076645,75.71,36.08,37.32
2020-03-01,161.12,241.56,249.38,375.5,27.92,439.97,141.04,94.99,86.46,23.47,227.04,177.18,81.51,142.75,33.5,75.06,95.74,74.81,33.68,19.099981,68.24,30.57,30.84
2020-02-01,181.76,290.25,254.96,369.03,33.87,463.01,159.81,109.36,104.56,28.6,257.09,182.94,97.49,142.75,41.66,90.26,107.99,124.0,39.9,23.48331,97.2,42.72,46.14
