Date,Mkt-RF,SMB,HML,RMW,CMA,RF
1990-01-01,   -7.85,   -1.31,    0.85,   -1.17,    1.35,    0.57
1990-02-01,    1.11,    1.17,    0.64,   -0.03,   -0.66,    0.57
1990-03-01,    1.83,    1.62,   -2.92,    2.04,   -1.02,    0.64
1990-04-01,   -3.36,   -0.33,   -2.59,    1.78,   -0.98,    0.69
1990-05-01,    8.42,   -2.35,   -3.83,    1.57,   -1.68,    0.68
1990-06-01,   -1.09,    1.35,   -1.93,   -1.03,   -0.39,    0.63
1990-07-01,   -1.90,   -3.16,   -0.03,   -0.18,    3.21,    0.68
1990-08-01,  -10.15,   -3.87,    1.64,   -0.35,    2.96,    0.66
1990-09-01,   -6.12,   -3.74,    0.64,    0.06,    3.67,    0.60
1990-10-01,   -1.92,   -5.12,    0.10,    2.97,   -0.30,    0.68
1990-11-01,    6.35,    0.07,   -3.10,    0.65,   -4.74,    0.57
1990-12-01,    2.46,    0.67,   -1.70,    2.73,   -1.89,    0.60
1991-01-01,    4.69,    3.91,   -1.60,    1.28,   -3.99,    0.52
1991-02-01,    7.19,    3.94,   -0.58,   -0.20,   -0.33,    0.48
1991-03-01,    2.65,    3.83,   -1.39,   -0.53,   -1.06,    0.44
1991-04-01,   -0.28,    0.31,    1.50,    0.62,    0.74,    0.53
1991-05-01,    3.65,    0.14,   -0.52,    2.00,   -2.43,    0.47
1991-06-01,   -4.94,    0.24,    1.15,    1.79,    0.65,    0.42
1991-07-01,    4.24,   -0.96,   -1.32,    1.60,   -1.36,    0.49
1991-08-01,    2.32,    1.40,   -0.78,    0.84,   -0.34,    0.46
1991-09-01,   -1.59,    1.56,   -1.08,   -1.82,    0.08,    0.46
1991-10-01,    1.29,    0.91,   -0.47,   -1.70,   -0.23,    0.42
1991-11-01,   -4.19,   -0.83,   -1.89,    1.11,    0.01,    0.39
1991-12-01,   10.84,   -2.40,   -4.17,    3.55,   -3.12,    0.38
1992-01-01,   -0.59,    9.18,    4.71,   -1.32,    3.20,    0.34
1992-02-01,    1.09,    1.33,    6.47,    0.08,    2.19,    0.28
1992-03-01,   -2.66,   -0.93,    3.56,   -0.01,    1.95,    0.34
1992-04-01,    1.07,   -5.70,    4.34,    1.69,    2.23,    0.32
1992-05-01,    0.30,    0.21,    1.19,   -0.95,    0.48,    0.28
1992-06-01,   -2.34,   -2.73,    3.24,   -0.05,    1.01,    0.32
1992-07-01,    3.77,   -0.62,   -0.56,    1.30,   -0.91,    0.31
1992-08-01,   -2.38,   -0.42,   -1.10,    3.72,   -1.65,    0.26
1992-09-01,    1.19,    0.48,   -0.26,    1.64,   -0.59,    0.26
1992-10-01,    1.02,    2.07,   -1.98,    1.24,   -0.79,    0.23
1992-11-01,    4.13,    3.94,   -1.35,   -0.68,   -1.59,    0.23
1992-12-01,    1.53,    1.68,    2.62,   -0.48,    0.84,    0.28
1993-01-01,    0.93,    1.93,    5.94,   -1.84,    2.91,    0.23
1993-02-01,    0.12,   -3.45,    6.42,   -0.42,    4.13,    0.22
1993-03-01,    2.30,    0.09,    1.18,   -0.15,    0.90,    0.25
1993-04-01,   -3.05,   -0.85,    2.49,   -3.61,    1.38,    0.24
1993-05-01,    2.89,    1.90,   -3.42,   -0.12,   -1.04,    0.22
1993-06-01,    0.31,    0.13,    2.75,   -0.92,    1.21,    0.25
1993-07-01,   -0.34,    0.95,    2.85,   -1.87,    2.06,    0.24
1993-08-01,    3.71,    0.10,    0.13,   -1.54,   -0.04,    0.25
1993-09-01,   -0.12,    2.98,   -0.31,    0.24,   -0.16,    0.26
1993-10-01,    1.41,    1.89,   -2.76,    0.57,    0.60,    0.22
1993-11-01,   -1.89,   -1.27,   -0.74,    2.23,   -0.94,    0.25
1993-12-01,    1.65,    1.40,    0.32,    1.16,   -0.34,    0.23
1994-01-01,    2.87,   -0.06,    1.15,   -1.66,    1.43,    0.25
1994-02-01,   -2.55,    2.67,   -1.54,    2.14,   -1.00,    0.21
1994-03-01,   -4.78,   -1.04,    1.60,    0.69,    1.28,    0.27
1994-04-01,    0.68,   -1.01,    1.66,    1.07,    1.11,    0.27
1994-05-01,    0.58,   -2.56,    0.67,    0.60,    0.68,    0.31
1994-06-01,   -3.03,   -0.50,    1.67,    1.21,    1.47,    0.31
1994-07-01,    2.82,   -1.85,    0.58,   -0.65,    0.14,    0.28
1994-08-01,    4.01,    1.37,   -2.51,    0.95,   -1.47,    0.37
1994-09-01,   -2.31,    2.80,   -1.89,    0.52,    0.93,    0.37
1994-10-01,    1.34,   -2.30,   -1.62,    0.23,   -0.68,    0.38
1994-11-01,   -4.04,    0.07,   -0.70,    0.42,   -0.50,    0.37
1994-12-01,    0.86,    0.00,   -0.13,    0.37,    0.38,    0.44
1995-01-01,    1.80,   -3.06,    2.57,    0.17,   -0.75,    0.42
1995-02-01,    3.63,   -0.54,    1.08,    0.59,   -0.33,    0.40
1995-03-01,    2.19,   -0.51,   -2.15,   -0.17,    0.22,    0.46
1995-04-01,    2.11,   -0.22,    1.71,    0.41,    0.90,    0.44
1995-05-01,    2.90,   -2.19,    2.29,    0.39,    0.04,    0.54
1995-06-01,    2.72,    3.06,   -2.54,   -0.33,   -2.44,    0.47
1995-07-01,    3.72,    2.09,   -1.62,    0.30,   -1.65,    0.45
1995-08-01,    0.55,    1.75,    2.79,   -1.24,    1.62,    0.47
1995-09-01,    3.35,   -1.88,   -0.04,    1.03,    0.36,    0.43
1995-10-01,   -1.52,   -4.04,   -0.50,    1.91,   -0.05,    0.47
1995-11-01,    3.96,   -1.07,    0.51,   -0.62,    1.12,    0.42
1995-12-01,    1.03,    0.72,    0.22,   -1.37,    3.10,    0.49
1996-01-01,    2.26,   -2.56,    0.38,    0.18,    2.31,    0.43
1996-02-01,    1.33,    1.77,   -1.08,    0.24,   -1.90,    0.39
1996-03-01,    0.73,    1.61,    0.35,    1.42,   -0.95,    0.39
1996-04-01,    2.06,    4.71,   -4.02,   -0.14,   -2.11,    0.46
1996-05-01,    2.36,    3.21,   -0.83,    0.12,   -0.30,    0.42
1996-06-01,   -1.14,   -3.65,    2.35,    3.51,    1.22,    0.40
1996-07-01,   -5.97,   -3.81,    5.14,    2.95,    2.60,    0.45
1996-08-01,    2.77,    2.57,   -0.74,   -0.37,   -2.42,    0.41
1996-09-01,    5.01,   -1.39,   -2.72,    1.27,   -2.22,    0.44
1996-10-01,    0.86,   -3.77,    4.94,    1.40,    3.25,    0.42
1996-11-01,    6.25,   -3.80,    1.39,    2.12,   -0.79,    0.41
1996-12-01,   -1.70,    3.25,    1.31,    0.37,    1.49,    0.46
