Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
1990-01-01,   5.03,  -2.70, -11.15,   2.21,  -9.61, -10.52,  -4.22,  -8.72,  -6.84,  -7.30,  -7.20,  -6.18,  -3.71,  -3.44,  -5.59, -10.21,  -1.63,  -1.47,  -5.79,  -7.13,  -3.60,  -3.20,  -4.50,  -5.56,  -4.22,  -5.97,   8.56,  -5.36,  -5.92,  -0.73,  -4.92, -10.19, -11.06,  -6.66,  -4.71,  -3.89,  -4.72,  -8.23,  -9.00,  -6.17,  -7.97,  -2.13,  -7.33,  -9.65,  -6.53,  -8.06,  -2.32,  -3.62,  -6.65
1990-02-01,   8.99,   0.69,   9.62,   3.53,  -2.34,   0.90,   3.33,  -0.04,  -0.35,  -0.81,   0.23,   0.08,   3.91,   4.14,   4.11,   1.11,   3.27,   0.51,   2.67,   1.93,   3.17,   1.25,   0.84,   3.34,  -5.10,  -1.07,   0.14,   0.16,   3.54,   5.17,   1.10,   0.96,   4.98,   1.88,   3.65,   5.03,   3.47,   0.92,   5.16,   3.57,   4.07,   2.66,   1.83,   6.37,   0.17,   1.33,   6.20,  -0.07,  -3.10
1990-03-01,   6.76,   2.34,  12.53,   3.85,   5.61,   4.62,   4.46,   1.15,   1.07,   5.58,   4.75,   4.50,   4.27,   4.38,   1.89,  -0.02,   4.43,  -1.46,   7.65,   7.02,   3.50,   7.36,   1.50,   5.47,   9.73,   8.93,  -5.99,  -0.86,   5.56,   5.09,  -0.15,   1.17,   0.49,   2.64,   5.30,   4.54,   5.31,   1.60,   1.74,  -1.66,   2.95,   4.57,   4.09,   2.75,  -1.86,   1.61,  -2.30,  -1.15,   3.94
1990-04-01,   1.14,  -0.06,   0.38,   0.63,  -0.08,  -5.73,  -1.03,  -2.74,  -5.28,  -3.07,   2.05,  -0.94,  -2.49,  -3.13,  -1.29,   0.65,  -1.24,  -6.71,  -7.10,  -4.19,   1.52,  -1.67,  -0.28,  -3.36,   9.65,   2.69,  -6.05,  -2.78,  -5.51,  -4.58,  -4.65,  -2.99,  -1.59,  -1.05,  -1.46,  -2.83,  -0.47,  -3.08,  -5.84,   1.06,  -3.31,  -2.22,  -3.64,  -1.99,  -5.49,  -4.53,  -3.37,  -3.90,   8.16
1990-05-01,  -0.59,   3.07,  13.51,   8.54,   1.77,   2.90,   4.28,   3.97,   2.39,   3.16,   7.84,  11.78,   4.69,   5.49,   1.69,   1.61,   5.83,   0.50,   4.04,   1.92,   8.90,   4.80,   1.80,   3.80,  -1.13,   0.53,  -1.33,   5.17,  13.65,   3.95,   3.80,   8.74,  -0.04,   5.24,   8.31,   9.32,   8.40,   4.21,   2.76,   2.90,   4.68,   5.10,   6.46,   4.59,   0.80,   6.60,   1.09,  -0.54,   9.92
1990-06-01,   4.33,   2.55,  -3.54,   2.89,   5.97,   1.87,  -1.41,   0.05,   1.77,  -1.45,   4.96,   5.71,   3.49,  -0.75,   1.66,  -1.72,  -1.01,  -0.53,   0.59,   0.66,  -1.17,  -2.36,  -0.42,  -3.22,   1.38,  -4.09,  -7.36,   6.84,  -4.35,   0.76,   0.32,   0.56,   3.70,   2.41,   2.32,   2.73,  -0.68,   3.00,  -0.91,   0.29,  -2.44,   0.73,  -0.07,   2.51,  -4.17,   3.81,   1.93,  -1.86,   3.19
1990-07-01,   0.12,  -5.12,   1.87,  -2.66,   1.86,  -6.50,  -5.25,  -4.30,  -5.95,  -5.98,  -0.52,  -1.16,   0.16,   1.03,  -3.31,  -2.97,  -1.34,  -5.01,  -0.28,  -3.22,  -3.66,  -1.60,  -0.65,   0.28,  -1.13, -13.26,   9.39,   5.83,  -9.84,   4.73,   0.41,  -6.46,  -6.58,  -2.08,  -5.68,  -7.36,  -5.49,  -3.38,  -2.63,   0.17,  -1.85,  -5.08,  -4.23,  -0.47,  -6.25,  -1.70,  -1.33,  -4.39,  -3.38
1990-08-01,  -7.85, -12.40, -11.27,  -7.92,  -6.42, -13.75, -17.25, -10.91, -12.70, -11.54,  -9.28,  -9.23, -12.13, -12.63, -13.82, -12.76, -11.34, -14.86, -13.34, -11.66, -13.97, -16.40, -15.60, -10.09, -17.05,  -1.45,  -9.78,  -4.76, -12.46,   3.81,  -5.09, -16.10, -15.10, -13.07, -16.79, -15.53, -12.45, -12.38, -11.94, -10.60, -15.23, -14.40, -15.06, -12.01,  -9.78, -10.40, -12.45,  -9.66, -15.10
1990-09-01, -12.48,  -7.50, -15.13,  -8.72,  -3.20,  -9.06,  -9.72,  -4.39, -10.91, -12.23,  -8.22,  -9.29,  -7.34,  -6.32, -10.85, -12.01,  -6.43,  -7.44,  -7.89,  -6.59,  -6.09,  -7.21,  -9.83,  -8.69,  -8.26,  -5.39,  -6.81,  -4.69,  -0.36,   0.64,   0.72,  -8.60,  -6.86,  -7.09, -13.74,  -8.92,  -8.79,  -6.32,  -9.49,  -7.75,  -9.72,  -9.38, -12.49, -10.75, -10.63,  -8.66,  -5.04,  -8.67, -11.20
1990-10-01,  -9.22,  -1.17,   7.83,  -0.84,   1.60,  -6.68,  -4.61,  -5.34,  -5.18, -11.06,  -6.25,  -1.88,  -4.71,  -2.52,  -5.90,  -8.61,  -7.29, -12.34,  -9.74,  -4.78,  -8.26,  -3.65, -10.65,  -2.65, -21.82,  -4.62, -16.05, -12.47,  -9.93, -10.49,   2.37,  -7.62,  -9.37,  -4.92,  -5.61,  -4.36,  -4.85,  -4.34,  -5.22,   0.50,  -2.73,  -7.67,  -7.67,  -7.85,  -6.82,  -6.89,  -8.46,  -7.70,  -4.66
