Period,LLY,ABBV.K,MRK,ABT,ISRG.O,AMGN.O,PFE,BSX,SYK,GILD.O,VRTX.O,BMY,MMM,REGN.O,ZTS,BDX,EW,GEHC.O,IDXX.O,ALNY.O,DXCM.O,ZBH,BIIB.O,LH,NTRA.O,RPRX.O,DGX,PODD.O,BAX,WST,COO.O,SMMT.O,ITCI.O,INSM.O,UTHR.O,HOLX.O,MRNA.O,BMRN.O,SOLV.K,ALGN.O,THC,NBIX.O,VTRS.O,PEN,EXEL.O,TECH.O
2025-01-01,811.08,183.9,98.82,127.93,571.88,285.42,26.52,102.36,391.29,97.2,461.68,58.95,152.2,672.98,170.9,247.6,72.45,88.3,422.05,271.31,86.83,109.48,143.93,249.8,176.92,31.58,163.1,278.38,32.56,341.55,96.55,21.5,127.08,76.58,351.17,72.14,39.42,63.36,74.06,219.11,140.89,151.82,11.28,266.97,33.15,73.55
2024-12-01,772.0,177.7,99.48,113.11,521.96,260.64,26.53,89.32,360.05,92.37,402.7,56.56,129.09,712.33,162.93,226.87,74.03,78.18,413.44,235.31,77.77,105.63,152.92,229.32,158.3,25.51,150.86,261.07,29.16,327.56,91.93,17.845,83.52,69.04,352.84,72.09,41.58,65.73,66.06,208.51,126.23,136.5,12.45,237.48,33.3,72.03
2024-11-01,795.35,182.93,101.64,118.77,542.0,282.87,26.21,90.66,392.15,92.58,468.13,59.22,133.53,750.22,175.25,221.9,71.35,83.22,421.75,253.07,77.99,112.1,160.63,241.16,167.78,26.66,162.66,266.78,33.71,325.68,104.46,18.46,85.65,75.16,370.49,79.5,43.06,66.03,71.51,232.77,142.68,126.75,13.09,244.12,36.46,75.36
2024-10-01,829.74,203.87,102.32,113.37,503.84,320.16,28.3,84.02,356.28,88.82,475.98,55.77,128.47,838.2,178.78,233.59,67.01,87.35,406.92,266.59,70.48,106.92,174.0,228.27,120.96,27.0,154.83,231.53,35.7,307.93,104.68,18.59,84.75,67.28,373.97,80.87,54.36,65.89,72.58,205.03,155.02,120.27,11.6,228.87,33.2,73.75
2024-09-01,885.94,197.48,113.56,114.01,491.27,322.21,28.94,83.8,361.26,83.84,465.08,51.74,136.7,1051.24,195.38,241.1,65.99,93.85,505.22,275.03,67.04,107.95,193.84,223.48,126.95,28.29,155.25,232.75,37.97,300.16,110.34,21.9,73.17,73.0,358.35,81.46,66.83,70.29,69.72,254.32,166.2,115.22,11.61,194.31,25.95,79.93
2024-08-01,960.02,196.31,118.45,113.27,492.63,333.83,29.01,81.79,360.42,79.0,495.89,49.95,134.69,1184.69,183.49,242.41,69.96,84.82,481.33,262.69,69.34,115.46,204.76,229.89,118.26,29.03,156.97,202.77,37.94,313.63,105.73,12.98,73.28,76.47,363.55,81.24,77.4,91.21,64.11,237.22,165.84,127.06,12.08,202.32,26.03,73.99
2024-07-01,804.27,185.32,113.13,105.94,444.61,332.47,30.54,73.88,327.45,76.06,495.72,47.56,127.55,1079.19,180.04,241.06,63.05,84.63,476.12,237.46,67.82,111.35,213.2,215.44,102.39,28.17,142.3,194.35,35.82,306.17,93.33,10.8,78.72,72.75,313.29,81.61,119.22,84.33,58.88,231.88,149.7,141.57,12.06,167.09,23.45,81.59
2024-06-01,905.38,171.52,123.8,103.91,444.85,312.45,27.98,77.01,340.25,68.61,468.72,41.53,102.19,1051.03,173.36,233.71,92.37,77.92,487.2,243.0,113.38,108.53,231.82,203.51,108.29,26.37,136.88,201.8,33.45,329.39,87.3,7.8,68.49,67.0,318.55,74.25,118.75,82.33,52.88,241.43,133.03,137.67,10.63,179.97,22.47,71.65
2024-05-01,820.34,161.24,125.54,102.19,402.12,305.85,28.66,75.57,341.09,64.27,455.34,41.09,100.14,980.16,169.56,231.97,86.89,78.0,496.95,148.43,118.77,115.15,224.94,194.91,106.53,27.41,141.97,177.19,34.09,331.41,94.31,8.685,67.24,55.05,275.13,73.78,142.55,75.07,59.34,257.21,135.22,135.41,10.6,189.47,21.69,77.19
2024-04-01,781.1,162.64,129.22,105.97,370.62,273.94,25.62,71.87,336.5,65.2,392.81,43.94,96.51,890.66,159.24,234.6,84.67,76.24,492.76,143.95,127.39,120.28,214.82,201.37,92.88,27.7,138.18,171.94,40.37,357.48,89.06,3.93,71.81,24.72,234.33,75.77,110.31,80.76,65.01,282.38,112.29,137.54,11.57,196.47,23.46,63.21
2024-03-01,777.96,182.1,131.95,113.66,399.09,284.32,27.75,68.49,357.87,73.25,418.01,54.23,88.682475,962.49,169.21,247.45,95.56,90.91,539.93,149.45,138.7,131.98,215.63,218.46,91.46,30.37,133.11,171.4,42.74,395.71,101.46,4.14,69.2,27.13,229.72,77.96,106.56,87.34,69.55,327.92,105.11,137.92,11.94,223.18,23.73,70.39
2024-02-01,753.68,176.05,127.15,118.64,385.6,273.83,26.56,66.21,349.07,72.1,420.74,50.75,77.019229,966.09,198.33,235.55,84.87,91.28,575.23,151.09,115.07,124.36,216.99,215.83,86.49,30.34,124.89,164.0,40.92,358.36,93.6,4.54,69.52,27.72,225.64,73.8,92.24,86.28,69.55,302.42,93.0,130.4,12.37,234.92,21.9,73.57
2024-01-01,645.61,164.4,120.78,113.15,378.22,314.26,27.08,63.26,335.48,78.26,433.38,48.87,78.883676,942.78,187.81,238.81,78.47,73.36,515.08,172.91,121.35,125.6,246.66,222.3,65.94,28.39,128.43,190.87,38.69,373.03,93.2575,3.92,67.34,27.8,214.78,74.44,101.05,88.08,69.55,267.32,82.74,139.77,11.77,252.19,21.76,70.32
2023-12-01,582.92,154.97,109.02,110.07,337.36,288.02,28.79,57.81,299.46,81.01,406.89,51.31,91.399719,878.29,197.37,243.83,76.25,77.32,555.05,191.41,124.09,121.7,258.77,227.29,62.64,28.09,137.88,216.98,38.66,352.12,94.61,2.61,71.62,30.99,219.89,71.45,99.45,96.42,69.55,274.0,75.57,131.76,10.83,251.54,23.99,77.16
2023-11-01,591.04,142.39,102.48,104.29,310.84,269.64,30.47,55.89,296.33,76.6,354.81,49.38,82.82995,823.81,176.67,236.18,67.71,68.46,465.82,168.25,115.52,116.31,234.08,216.91,55.95,27.07,137.23,189.09,36.08,350.76,84.23,2.03,61.37,25.02,240.0,71.3,77.7,91.08,69.55,213.8,69.01,116.59,9.18,222.09,21.81,62.9
2023-10-01,553.93,141.18,102.7,94.55,262.22,255.7,30.56,51.19,270.22,78.54,362.11,51.53,76.041021,779.89,157.0,252.78,63.72,66.57,399.47,151.8,88.83,104.41,237.54,199.73,39.47,26.87,130.1,132.57,32.43,318.29,77.9375,1.94,49.76,25.06,222.86,66.17,75.96,81.45,69.55,184.59,53.7,110.94,8.9,191.15,20.59,54.63
2023-09-01,537.13,149.06,102.95,96.85,292.29,268.76,33.17,52.8,273.27,74.94,347.74,58.04,78.273342,822.96,173.98,258.53,69.28,68.04,437.27,177.1,93.3,112.22,257.01,201.05,44.25,27.14,121.86,159.49,37.74,375.21,79.5025,1.87,52.09,25.25,225.87,69.4,103.29,88.48,69.55,305.32,65.89,112.5,9.86,241.91,21.85,68.07
