Period,AAPL.O,NVDA.O,MSFT.O,ORCL.K,TMUS.O,CRM,CSCO.O,PLTR.O,TMO,NOW,QCOM.O,ADBE.O,INTU.O,AMD.O,TXN.O,DHR,CMCSA.O,PANW.O,ADP.O,MU.O,ANET.K,INTC.O,ADI.O,KLAC.O,CRWD.O,APH,FTNT.O,NOC,MSI,SNPS.O,CDNS.O,DELL.K,WDAY.O,ROP.O,MRVL.O,CCZ,CHTR.O,ADSK.O,SNOW.K,AME,VRSK.O,NET,LHX,CTSH.O,VEEV.K,RBLX.K,EA.O
2025-01-01,236.0,120.07,415.06,170.06,232.97,341.7,60.6,82.49,597.75,1018.38,172.93,437.45,601.51,115.95,184.61,222.74,33.66,184.42,303.01,91.24,115.23,19.43,211.89,738.24,398.07,70.78,100.88,487.27,469.25,525.48,297.62,103.6,262.06,575.65,112.86,64.0,345.49,311.34,181.51,184.56,287.44,138.4,212.01,82.61,233.26,71.07,122.91
2024-12-01,250.42,134.29,421.5,166.64,220.73,334.33,59.2,75.63,520.23,1060.12,153.62,444.68,628.5,120.79,187.51,229.55,37.53,181.96,292.73,84.16,110.53,20.05,212.46,630.12,342.16,69.45,94.48,469.29,462.23,485.36,300.46,115.24,258.03,519.85,110.45,61.0725,342.77,295.57,154.41,180.26,275.43,107.68,210.28,76.9,210.25,57.86,146.3
2024-11-01,237.33,138.25,423.46,184.84,246.94,329.99,59.21,67.08,529.63,1049.44,158.53,515.93,641.73,137.175,201.03,239.69,43.19,193.91,306.93,97.95,101.455,24.05,218.05,647.03,345.97,72.65,95.05,489.65,499.7,558.49,306.81,127.59,249.99,566.44,92.69,60.2335,396.965,291.9,174.8,194.38,294.21,99.83,246.25,80.49,227.85,50.13,163.67
2024-10-01,225.91,132.76,406.35,167.84,223.16,291.37,54.77,41.56,546.32,932.99,162.77,478.08,610.3,144.07,203.16,245.66,43.67,180.165,289.24,99.65,96.61,21.52,223.11,666.23,296.87,67.02,78.66,509.02,449.35,513.61,276.12,123.63,233.85,537.73,80.11,60.89,327.61,283.8,114.82,183.34,274.72,87.71,247.47,74.59,208.83,51.72,150.85
2024-09-01,233.0,121.44,430.3,170.4,206.36,273.71,53.22,37.2,618.57,894.39,170.05,517.78,621.0,164.08,206.57,278.02,41.77,170.9,276.73,103.71,95.955,23.46,230.17,774.41,280.47,65.16,77.55,528.07,449.63,506.39,271.03,118.54,244.41,556.44,72.12,58.49,324.08,275.48,114.86,171.71,267.96,80.89,237.87,77.18,209.87,44.26,143.44
2024-08-01,229.0,119.37,417.14,141.29,198.72,252.9,50.54,31.48,615.07,855.0,175.3,574.41,630.26,148.56,214.34,269.31,39.57,181.36,275.91,96.24,88.345,22.04,234.84,819.43,277.28,67.45,76.71,523.21,442.04,519.58,268.93,115.54,263.19,554.41,76.24,55.82,347.54,258.4,114.23,171.05,272.82,82.14,236.67,77.77,216.44,43.99,151.82
2024-07-01,222.08,117.02,418.35,139.45,182.28,258.8,48.45,26.89,613.34,814.39,180.95,551.65,647.35,144.48,203.81,277.08,41.27,162.365,262.62,109.82,86.6375,30.74,231.38,823.07,231.96,64.26,58.04,484.32,398.92,558.32,267.66,113.68,227.12,544.75,66.98,56.76,379.72,247.52,130.38,173.48,261.75,77.5,226.89,75.68,191.93,41.52,150.94
2024-06-01,210.62,123.54,446.95,141.2,176.18,257.1,47.51,25.33,553.0,786.67,199.18,555.54,657.21,162.21,194.53,249.85,39.16,169.505,238.69,131.53,87.62,30.97,228.26,824.51,383.19,67.37,60.27,435.95,386.05,595.06,307.75,137.91,223.56,563.66,69.9,58.1,298.96,247.45,135.09,166.71,269.55,82.83,224.58,68.0,183.01,37.21,139.33
2024-05-01,192.25,109.633,415.13,117.19,174.96,234.44,46.5,21.68,567.98,656.93,204.05,444.76,576.44,166.9,195.01,256.8,40.03,147.455,244.92,125.0,74.4125,30.85,234.49,759.53,313.67,66.185,59.32,450.77,364.91,560.8,286.31,139.56,211.45,532.76,68.81,58.1,287.12,201.6,136.18,169.58,252.78,67.69,224.83,66.15,174.25,33.62,132.88
2024-04-01,170.33,86.402,389.33,113.75,164.17,268.94,46.98,21.97,568.72,693.33,165.85,462.83,625.62,158.38,176.42,246.62,38.11,145.445,241.89,112.96,64.14,30.47,200.61,689.29,292.54,60.385,63.18,485.03,339.15,530.59,275.63,124.64,244.73,511.46,65.91,54.81,255.94,212.85,155.2,174.66,217.96,87.4,214.05,65.68,198.56,35.56,126.82
