Period,XOM,CVX,RTX,CAT,NEE,HON.O,DE,COP,BA,NKE,LRCX.O,DUK,CL,WMB,EOG,CEG.O,KMI,OKE,CARR.K,SLB,PSX,LNG,D,HES,MPC,OXY,KVUE.K,FANG.O,BKR.O,VST,VLO,GLW,DD,HEI,WAB
2025/1/1,106.83,149.19,128.95,371.44,71.56,223.72,476.56,98.83,176.52,76.9,81.05,111.99,86.7,55.43,125.79,299.98,27.48,97.17,65.38,40.28,117.87,223.65,55.59,139.03,145.71,46.65,21.29,164.36,46.18,168.03,133,52.08,76.8,238.94,207.92
2024/12/1,107.57,144.84,115.72,362.76,71.69,225.89,423.7,99.17,177,75.67,72.23,107.74,90.91,54.12,122.58,223.71,27.4,100.4,68.26,38.34,113.93,214.87,53.86,133.01,139.5,49.41,21.35,163.83,41.02,137.87,122.59,47.52,76.25,237.74,189.59
2024/11/1,117.96,161.93,121.83,406.11,78.67,232.93,465.9,108.34,155.44,78.77,73.88,117.05,96.63,58.52,133.26,256.56,28.27,113.6,77.37,43.94,133.98,224.01,58.75,147.18,156.15,50.58,24.08,177.59,43.95,159.84,139.08,48.67,83.59,273.37,200.62
2024/10/1,116.78,148.82,120.99,376.2,79.25,205.68,404.69,109.54,149.31,77.13,74.35,115.27,93.71,52.37,121.96,262.96,24.51,96.88,72.72,40.07,121.82,191.38,59.53,134.48,145.47,50.11,22.93,176.77,38.08,124.96,129.76,47.59,82.99,244.95,187.98
2024/9/1,117.22,147.27,121.16,391.12,84.53,206.71,417.33,105.28,152.04,88.4,81.608,115.3,103.81,45.65,122.93,260.02,22.09,91.13,80.49,41.95,131.45,179.84,57.79,135.8,162.91,51.54,23.13,172.4,36.15,118.54,135.03,45.15,89.11,261.48,181.77
2024/8/1,117.94,147.95,123.34,356.1,80.51,207.91,385.74,113.79,173.74,83.32,82.101,113.95,106.5,45.77,128.82,196.7,21.57,92.36,72.78,43.99,140.31,185.26,55.9,138.06,177.12,56.98,21.95,195.11,35.17,85.43,146.73,41.85,84.25,256.56,169.57
2024/7/1,118.59,160.47,117.49,346.2,76.39,204.75,371.98,111.2,190.6,74.86,92.124,109.27,99.19,42.94,126.8,189.8,21.13,83.33,68.11,48.29,145.48,182.64,53.46,153.42,177.02,60.82,18.49,202.31,38.72,79.22,161.72,40.01,83.7,241.34,161.15
2024/6/1,115.12,156.42,100.39,333.1,70.81,213.54,373.63,114.38,182.01,75.37,106.485,100.23,97.04,42.5,125.87,200.27,19.87,81.55,63.08,47.18,141.17,174.83,49,147.52,173.48,63.03,18.18,200.19,35.17,85.98,156.76,38.85,80.49,223.61,158.05
2024/5/1,117.26,162.3,107.81,338.52,80.02,202.19,374.76,116.48,177.61,95.05,93.244,103.57,92.96,41.51,124.55,217.25,19.49,81,63.19,45.89,142.11,157.79,53.92,154.1,176.61,62.5,19.3,199.26,33.48,99.08,157.14,37.26,82.16,221.77,169.23
2024/4/1,118.27,161.27,101.52,334.57,66.97,192.73,391.41,125.62,167.84,92.26,89.441,98.26,91.92,38.36,132.13,185.94,18.28,79.12,61.49,47.48,143.21,157.82,50.98,157.49,181.72,66.14,18.82,201.13,32.62,75.84,159.87,33.38,72.5,207.4,161.08
2024/3/1,116.24,157.74,97.53,366.43,63.91,205.25,410.74,127.28,192.99,93.98,97.157,96.71,90.05,38.97,127.84,184.85,18.34,80.17,58.13,54.81,163.34,161.28,49.19,152.64,201.5,64.99,21.46,198.17,33.5,69.65,170.69,32.96,76.67,191,145.68
2024/2/1,104.52,152.01,89.67,333.96,55.19,198.73,365.05,112.54,203.72,103.93,93.825,91.83,86.52,35.94,114.46,168.45,17.39,75.12,55.58,48.33,142.51,155.2,47.83,145.75,169.23,60.61,19,182.52,29.59,54.54,141.46,32.24,69.19,193.4,141.29
2024/1/1,102.81,147.43,91.12,300.31,58.63,202.26,393.58,111.87,211.04,101.53,82.517,95.83,84.2,34.66,113.79,122,16.92,68.25,54.71,48.7,144.31,163.99,45.72,140.53,165.6,57.57,20.76,153.74,28.5,41.03,138.9,32.49,61.8,179.59,131.57
2023/12/1,99.98,149.16,84.14,295.67,60.74,209.71,399.87,116.07,260.66,108.57,78.326,97.04,79.71,34.83,120.95,116.89,17.64,70.22,57.45,52.04,133.14,170.71,47,144.16,148.36,59.71,21.53,155.08,34.18,38.52,130,30.45,76.93,178.87,126.9
2023/11/1,102.74,143.6,81.48,250.72,58.51,195.92,364.41,115.57,231.63,110.27,71.592,92.28,78.77,36.79,121.511934,121.04,17.57,68.85,51.96,52.04,128.89,182.15,45.34,140.56,149.19,59.15,20.44,154.41,33.75,35.41,125.36,28.49,71.54,171.03,116.56
2023/10/1,105.85,145.73,81.39,226.05,58.3,183.26,365.36,118.8,186.82,102.77,58.822,88.89,75.12,34.4,124.651675,112.92,16.2,65.2,47.66,55.66,114.07,166.42,40.32,144.4,151.25,61.81,18.6,160.32,34.42,32.72,127,26.76,72.88,158.41,106.02
2023/9/1,117.58,168.62,71.97,273,57.29,184.74,377.38,119.8,191.68,95.62,62.677,88.26,71.11,33.69,125.155218,109.08,16.58,63.43,55.2,58.3,120.15,165.96,44.67,153,151.34,64.88,20.08,154.88,35.32,33.18,141.71,30.47,74.59,161.93,106.27
2023/8/1,111.19,161.1,86.04,281.13,66.8,187.94,410.94,119.03,224.03,101.71,70.24,88.8,73.47,34.53,126.991671,104.16,17.22,65.2,57.45,58.96,114.16,163.2,48.54,154.5,142.77,62.79,23.05,151.78,36.19,31.42,129.9,32.82,76.89,168.71,112.52
2023/7/1,107.24,163.66,87.93,265.17,73.3,194.13,429.6,117.72,238.85,110.39,71.849,93.62,76.26,34.45,130.85217,96.65,17.71,67.04,59.55,58.34,111.55,161.86,53.55,151.73,133.02,63.13,23.68,147.32,35.79,28.06,128.91,33.94,77.63,175.98,118.44
