Date,Mkt-RF,SMB,HML,RF
1990-01-01,   -7.85,   -1.24,    0.85,    0.57
1990-02-01,    1.11,    0.99,    0.64,    0.57
1990-03-01,    1.83,    1.50,   -2.92,    0.64
1990-04-01,   -3.36,   -0.46,   -2.59,    0.69
1990-05-01,    8.42,   -2.53,   -3.83,    0.68
1990-06-01,   -1.09,    1.40,   -1.93,    0.63
1990-07-01,   -1.90,   -3.12,   -0.03,    0.68
1990-08-01,  -10.15,   -3.57,    1.64,    0.66
1990-09-01,   -6.12,   -3.65,    0.64,    0.60
1990-10-01,   -1.92,   -5.57,    0.10,    0.68
1990-11-01,    6.35,    0.43,   -3.10,    0.57
1990-12-01,    2.46,    0.81,   -1.70,    0.60
1991-01-01,    4.69,    3.81,   -1.60,    0.52
1991-02-01,    7.19,    3.95,   -0.58,    0.48
1991-03-01,    2.65,    3.93,   -1.39,    0.44
1991-04-01,   -0.28,    0.48,    1.50,    0.53
1991-05-01,    3.65,   -0.40,   -0.52,    0.47
1991-06-01,   -4.94,    0.13,    1.15,    0.42
1991-07-01,    4.24,   -0.92,   -1.32,    0.49
1991-08-01,    2.32,    1.58,   -0.78,    0.46
1991-09-01,   -1.59,    1.64,   -1.08,    0.46
1991-10-01,    1.29,    0.81,   -0.47,    0.42
1991-11-01,   -4.19,   -0.50,   -1.89,    0.39
1991-12-01,   10.84,   -2.24,   -4.17,    0.38
1992-01-01,   -0.59,    8.46,    4.71,    0.34
1992-02-01,    1.09,    0.87,    6.47,    0.28
1992-03-01,   -2.66,   -1.04,    3.56,    0.34
1992-04-01,    1.07,   -6.06,    4.34,    0.32
1992-05-01,    0.30,    0.41,    1.19,    0.28
1992-06-01,   -2.34,   -3.07,    3.24,    0.32
1992-07-01,    3.77,   -0.47,   -0.56,    0.31
1992-08-01,   -2.38,   -0.13,   -1.10,    0.26
1992-09-01,    1.19,    0.54,   -0.26,    0.26
1992-10-01,    1.02,    2.09,   -1.98,    0.23
1992-11-01,    4.13,    3.76,   -1.35,    0.23
1992-12-01,    1.53,    1.69,    2.62,    0.28
1993-01-01,    0.93,    1.89,    5.94,    0.23
1993-02-01,    0.12,   -3.48,    6.42,    0.22
1993-03-01,    2.30,    0.24,    1.18,    0.25
1993-04-01,   -3.05,   -0.67,    2.49,    0.24
1993-05-01,    2.89,    2.04,   -3.42,    0.22
1993-06-01,    0.31,   -0.29,    2.75,    0.25
1993-07-01,   -0.34,    0.96,    2.85,    0.24
1993-08-01,    3.71,    0.13,    0.13,    0.25
1993-09-01,   -0.12,    3.04,   -0.31,    0.26
1993-10-01,    1.41,    2.03,   -2.76,    0.22
1993-11-01,   -1.89,   -1.25,   -0.74,    0.25
1993-12-01,    1.65,    1.23,    0.32,    0.23
1994-01-01,    2.87,    0.34,    1.15,    0.25
1994-02-01,   -2.55,    2.80,   -1.54,    0.21
1994-03-01,   -4.78,   -1.08,    1.60,    0.27
1994-04-01,    0.68,   -0.93,    1.66,    0.27
1994-05-01,    0.58,   -2.15,    0.67,    0.31
1994-06-01,   -3.03,   -0.41,    1.67,    0.31
1994-07-01,    2.82,   -1.81,    0.58,    0.28
1994-08-01,    4.01,    1.45,   -2.51,    0.37
1994-09-01,   -2.31,    3.14,   -1.89,    0.37
1994-10-01,    1.34,   -2.24,   -1.62,    0.38
1994-11-01,   -4.04,    0.25,   -0.70,    0.37
1994-12-01,    0.86,    0.22,   -0.13,    0.44
1995-01-01,    1.80,   -3.50,    2.57,    0.42
1995-02-01,    3.63,   -0.66,    1.08,    0.40
1995-03-01,    2.19,   -0.16,   -2.15,    0.46
1995-04-01,    2.11,   -0.49,    1.71,    0.44
1995-05-01,    2.90,   -2.55,    2.29,    0.54
1995-06-01,    2.72,    3.18,   -2.54,    0.47
1995-07-01,    3.72,    2.07,   -1.62,    0.45
1995-08-01,    0.55,    1.35,    2.79,    0.47
1995-09-01,    3.35,   -2.20,   -0.04,    0.43
1995-10-01,   -1.52,   -3.78,   -0.50,    0.47
1995-11-01,    3.96,   -1.09,    0.51,    0.42
1995-12-01,    1.03,    0.70,    0.22,    0.49
1996-01-01,    2.26,   -2.73,    0.38,    0.43
1996-02-01,    1.33,    1.79,   -1.08,    0.39
1996-03-01,    0.73,    1.49,    0.35,    0.39
1996-04-01,    2.06,    5.23,   -4.02,    0.46
1996-05-01,    2.36,    3.17,   -0.83,    0.42
1996-06-01,   -1.14,   -4.01,    2.35,    0.40
1996-07-01,   -5.97,   -4.31,    5.14,    0.45
1996-08-01,    2.77,    2.44,   -0.74,    0.41
1996-09-01,    5.01,   -0.98,   -2.72,    0.44
1996-10-01,    0.86,   -4.44,    4.94,    0.42
