Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
1990-01-01, -11.55, -10.22, -10.62,  -9.02,  -8.65, -11.45, -10.73,  -9.34,  -7.74,  -9.39, -15.66,  -9.60,  -6.20,  -7.54,  -9.80, -10.22,  -8.10,  -0.89,  -8.79,  -0.71,  -3.54,  -3.72,  -3.39,  -4.02, -14.22,  -3.56,   7.90,  -3.95,  -3.03,  -4.29,  -5.34, -13.03, -10.68,  -7.25,   1.05,  -3.52,  -3.05,  -8.56,  -7.83,  -4.89,  -8.21,  -7.54,  -5.59, -12.05,  -9.71, -10.57,  -8.68,  -8.28, -10.30
1990-02-01,   9.38,  -0.96,  -0.91,   0.48,  -2.56,   0.59,   1.89,  -0.16,   0.14,   2.14,  -1.47,   1.68,  -2.61,   2.57,   4.57,   1.98,   2.56,   6.26,   3.31,   3.27,   5.48,   1.47,   6.09,   4.52,  -8.73,  -2.71,  -2.10,   4.91,   7.21,   3.09,   0.21,  -0.26,   3.17,   2.21,   4.27,   6.23,   3.02,   0.64,   1.59,   4.46,   5.67,   2.21,   2.10,  -0.08,   3.88,   1.38,   0.89,   0.97,   2.43
1990-03-01,   2.81,   5.34,   9.89,   6.21,   6.81,   6.73,   1.11,  -0.66,   4.16,   7.53,   6.13,   3.22,   3.72,   1.44,   6.75,   2.32,   4.85,   1.24,   6.29,   4.11,   3.98,   3.94,   3.56,   8.26,  14.44,   3.38,  -9.61,   4.52,   5.57,  -0.60,  -0.75,   4.25,   5.07,   3.24,   3.70,   7.67,   4.55,   5.64,   2.11,   4.08,   2.92,   3.06,   6.07,  -0.31,  -3.01,   0.09,   2.40,  -2.17,   4.77
1990-04-01,  -2.09,  -0.03,  -4.75,   2.32,   4.77,  -5.96,   1.23,  -6.97,  -1.88,  -1.04,  -2.06,  -2.73,   0.90,  -3.44,  -4.83,  -2.59,  -2.67,  -5.49,  -7.02,  -0.97,  -2.77,  -0.43,  -4.51,  -5.60,   2.14,   0.05, -11.80,  -1.80,  -9.08,  -3.52,  -5.50,  -3.27,  -0.22,  -2.47,  -0.01,  -4.30,  -5.05,  -3.60,  -3.17,   1.43,  -3.92,  -2.16,  -1.67,  -5.30,  -4.29,  -4.48,  -4.23,  -3.37,   3.44
1990-05-01,   1.36,   9.20,   8.37,  15.90,   1.12,  12.36,  13.25,  10.36,   9.80,   7.82,  15.03,  13.83,  12.48,   7.36,   8.34,   4.15,   8.41,  12.29,   7.37,  10.27,   5.95,   9.98,   8.01,  10.73,   1.31,   9.50,   9.76,   3.42,  13.16,   5.98,   5.43,   9.20,  10.98,   7.11,  11.58,  18.65,  13.47,   9.76,   6.04,   4.88,   4.58,   9.02,  11.89,  13.27,  10.55,  10.50,   0.45,   4.43,  11.64
1990-06-01,  -6.28,   2.81,   0.15,   1.02,   9.12,  -4.30,  -3.73,  -2.26,   1.99,  -1.93,   5.50,   4.38,   4.33,  -2.25,   1.21,  -4.84,  -2.95,  -3.02,  -1.46,   5.51,  -2.64,   0.19,  -2.93,   0.33,   4.21,  -2.23,  -7.04,  -3.00,  -6.66,  -2.02,   0.75,  -4.73,   4.19,   1.93,  -1.96,   4.19,  -3.16,   3.25,   0.41,  -5.16,  -1.53,   0.43,   1.66,   1.16,  -3.62,  -0.65,  -2.70,  -0.60,   2.68
1990-07-01,   6.88,   0.37,   1.31,   0.01,   5.64,  -9.02,  -7.72,  -5.53,  -1.81,  -5.01,  -0.17,  -0.06,   3.15,   0.87,  -1.14,  -1.20,   1.98,   2.95,   5.66,  -3.24,  -1.71,   1.58,  -2.69,  -2.71,  -4.17,  -6.95,  12.08,   7.19,  -0.90,   8.35,   0.89,  -4.41,  -4.16,  -2.34,  -6.88, -16.30,  -5.54,  -4.20,   1.54,  -0.83,  -2.48,  -3.91,  -3.72,  -7.31,  -7.63,  -1.22,  -6.33,  -5.46,  -1.55
1990-08-01,  -9.24,  -7.02, -10.39,  -4.90,  -3.08, -14.76, -15.37,  -9.35,  -9.07, -16.63,  -7.77,  -7.24,  -6.64, -12.87, -13.49, -14.00, -13.09, -12.41, -10.22, -12.25, -13.54, -13.52, -14.64, -13.27,  -9.75,  -9.10,  -5.85,  -8.46, -11.01,  -1.22,  -6.62, -10.43, -11.21,  -8.16, -12.11, -12.47, -12.94, -11.45, -11.26,  -8.88, -12.94,  -9.92, -12.68, -13.11, -11.47, -10.51, -12.27, -10.93, -10.81
1990-09-01, -13.61,  -1.06, -10.30,  -6.64,   0.94,  -8.55,  -3.48,  -6.16,  -7.45, -12.85,  -6.04,  -2.45,  -4.45,  -6.64,  -6.19, -17.08, -10.32,  -6.27,  -6.12, -16.82,  -9.35, -10.39, -11.04, -10.17,  -2.88,   0.73,  -0.84,  -3.89,   3.44,  -1.63,   0.48,   1.81, -12.21,  -5.60,  -5.88, -10.96,  -5.73, -10.64,  -7.40,  -5.08,  -7.71,  -5.04,  -9.36, -12.43, -12.78, -10.67, -13.93, -10.78, -12.06
1990-10-01,  -2.73,   3.25,   4.94,   7.50,   6.43,  -1.44,  -1.34,  -3.89,   1.98,  -7.20,  -1.35,   0.91,   1.70,   0.57,  -6.02, -10.99,  -4.08, -10.02, -11.43,   0.70, -10.01,  -2.92,  -2.69,   3.12, -22.43,  -0.42, -17.36, -15.37,  -9.50,  -3.99,   7.23,   3.01,  -2.60,  -3.33,  -3.58,  -0.25,  -6.50,   0.60,  -0.38,   1.73,  -2.37,  -3.63,  -3.03,  -3.67,  -9.06,  -5.40, -10.89,  -6.93,  -3.10
