Date,Cnsmr,Manuf,HiTec,Hlth ,Other
1990-01-01,  -5.63,  -4.31,  -5.64,  -5.47,  -5.21
1990-02-01,   1.82,   2.96,   3.25,   1.57,   0.92
1990-03-01,   3.56,   3.82,   3.90,   4.47,  -0.18
1990-04-01,  -2.43,  -2.65,  -2.08,  -0.86,  -3.48
1990-05-01,   4.34,   4.80,   7.73,   8.16,   2.24
1990-06-01,   0.58,  -0.10,   1.12,   4.67,  -0.79
1990-07-01,  -4.38,  -0.54,  -5.32,  -0.50,  -3.68
1990-08-01, -13.72,  -8.21, -14.59, -10.35, -11.42
1990-09-01, -10.01,  -4.77,  -9.51,  -8.27,  -8.84
1990-10-01,  -6.73,  -5.71,  -4.90,  -4.05,  -7.27
1990-11-01,   4.11,   2.69,   4.39,   6.78,   3.57
1990-12-01,  -0.28,  -0.84,  -0.20,   3.50,  -0.76
1991-01-01,   9.62,   5.33,  14.77,  13.57,   7.31
1991-02-01,  12.52,  10.40,  13.95,  21.35,  15.05
1991-03-01,   8.69,   4.40,  11.18,  15.84,   7.21
1991-04-01,   2.35,   1.83,   5.73,   4.23,   3.02
1991-05-01,   4.40,   2.86,   1.07,   6.14,   2.69
1991-06-01,  -2.31,  -3.47,  -5.83,  -4.34,  -2.98
1991-07-01,   2.29,   4.14,   3.53,   7.79,   2.96
1991-08-01,   3.08,   2.37,   3.98,   6.28,   2.55
1991-09-01,   0.60,   0.01,   1.91,   7.54,  -0.77
1991-10-01,   1.15,   2.09,   3.43,  10.53,   1.33
1991-11-01,  -2.96,  -1.89,  -3.89,  -0.44,  -2.62
1991-12-01,   3.64,   2.01,   3.64,  10.89,   3.66
1992-01-01,  13.35,   9.66,  19.47,  24.79,  18.40
1992-02-01,   7.01,   4.08,   7.60,  -1.07,   6.94
1992-03-01,  -0.16,  -0.29,  -1.92,  -7.11,  -0.18
1992-04-01,  -4.37,  -1.61,  -5.07, -11.47,  -1.09
1992-05-01,  -1.19,   1.39,  -1.35,  -1.29,   2.28
1992-06-01,  -4.44,  -3.80,  -6.76,  -6.17,  -2.18
1992-07-01,   2.19,   2.57,   1.54,   3.69,   3.70
1992-08-01,  -2.03,  -2.32,  -4.30,  -3.92,  -2.23
1992-09-01,   1.59,   1.96,   1.86,  -1.50,   1.50
1992-10-01,   3.16,   0.78,   3.75,   3.86,   1.29
1992-11-01,   8.52,   4.88,  10.42,  12.35,   5.73
1992-12-01,   3.36,   2.66,   4.83,   0.97,   5.27
1993-01-01,   6.20,   6.01,   7.21,   3.20,   9.19
1993-02-01,  -2.55,   2.52,  -2.21, -12.80,   0.75
1993-03-01,   3.39,   3.43,   1.62,  -0.06,   3.76
1993-04-01,  -2.59,  -0.42,  -3.42,  -4.09,  -0.86
1993-05-01,   4.69,   3.70,   6.84,   6.36,   1.90
1993-06-01,   0.26,   1.52,   3.17,   0.00,   1.31
1993-07-01,   0.50,   1.19,   1.32,  -2.58,   3.10
1993-08-01,   2.76,   4.64,   6.77,   1.93,   3.60
1993-09-01,   2.44,   0.80,   3.82,   4.39,   3.43
1993-10-01,   4.26,   2.29,   5.90,   6.90,   3.34
1993-11-01,  -0.91,  -3.09,  -2.06,  -4.45,  -2.71
1993-12-01,   0.85,   1.79,   1.10,  -0.76,   1.50
1994-01-01,   2.47,   5.45,   5.69,   6.40,   5.29
1994-02-01,  -0.30,   0.43,   0.26,  -2.88,  -1.41
1994-03-01,  -3.83,  -4.04,  -4.87,  -6.83,  -3.57
1994-04-01,  -1.73,   0.39,  -2.14,  -4.49,  -0.61
1994-05-01,  -1.97,   0.01,  -1.00,  -0.23,   1.36
1994-06-01,  -3.70,  -1.48,  -5.05,  -5.22,  -0.90
1994-07-01,   0.86,   2.64,   2.54,  -0.44,   1.01
1994-08-01,   4.17,   2.85,   5.92,   6.97,   2.46
1994-09-01,   0.11,   0.68,   3.09,   1.11,  -0.23
1994-10-01,  -0.20,   0.45,   4.07,  -1.51,  -1.73
1994-11-01,  -4.45,  -4.98,  -2.87,  -2.64,  -5.24
1994-12-01,  -3.69,  -0.18,   0.93,  -4.15,  -0.57
1995-01-01,   1.61,   1.22,   3.84,   7.27,   4.07
1995-02-01,   2.31,   2.88,   4.56,   2.71,   3.26
1995-03-01,   0.37,   1.45,   3.80,   3.19,   1.53
1995-04-01,   1.21,   2.31,   4.04,   2.13,   2.27
1995-05-01,  -0.27,   2.47,   2.46,   3.95,   2.22
1995-06-01,   3.54,   2.80,  10.76,   9.83,   4.25
1995-07-01,   4.61,   4.26,   9.65,   9.77,   4.92
1995-08-01,   1.69,   1.49,   4.37,   7.88,   4.47
1995-09-01,   1.82,   1.42,   4.12,   5.69,   2.68
1995-10-01,  -6.27,  -4.81,  -5.64,  -6.37,  -1.89
1995-11-01,   0.58,   1.59,   2.44,   1.23,   2.00
1995-12-01,  -1.86,   1.23,  -0.99,   7.18,   1.33
1996-01-01,   1.58,   2.74,   0.25,   9.68,   3.22
1996-02-01,   3.63,   2.50,   7.02,   5.16,   2.34
1996-03-01,   5.00,   2.68,   0.84,   3.35,   2.64
1996-04-01,   5.40,   5.89,  12.12,   7.29,   2.69
1996-05-01,   8.41,   4.91,  10.86,   7.37,   4.67
1996-06-01,  -2.98,  -1.63,  -7.65,  -6.50,  -0.77
1996-07-01,  -8.56,  -6.70, -13.64, -14.60,  -5.34
1996-08-01,   4.40,   3.84,   4.91,   5.41,   4.51
1996-09-01,   1.53,   3.05,   4.29,   4.01,   2.91
1996-10-01,  -3.15,   0.80,  -5.58,  -7.28,  -0.40
1996-11-01,   1.72,   4.25,   2.06,   0.87,   2.52
1996-12-01,  -2.07,   0.90,  -2.58,   1.07,   0.24
1997-01-01,   4.75,   6.34,   8.59,   9.37,   5.68
1997-02-01,  -0.31,  -2.72,  -6.25,  -1.38,   1.67
1997-03-01,  -4.08,  -2.52,  -9.12,  -9.81,  -3.27
1997-04-01,  -2.75,  -1.03,  -3.36,  -6.70,  -0.45
1997-05-01,   7.04,   9.04,  14.37,  10.26,   6.34
1997-06-01,   4.17,   4.19,   3.22,   2.75,   5.65
1997-07-01,   3.20,   5.88,   6.83,   1.29,   6.07
1997-08-01,   2.36,   3.94,   6.95,   2.73,   1.65
1997-09-01,   7.81,   7.42,   9.31,  11.42,   8.69
1997-10-01,  -2.21,  -2.05,  -4.96,  -2.29,  -0.10
1997-11-01,  -1.24,  -2.11,  -4.39,  -4.89,  -0.10
1997-12-01,  -4.97,  -2.73,  -7.33,  -6.75,   2.21
1998-01-01,   1.02,  -0.45,   3.46,   2.21,   0.94
1998-02-01,   7.09,   5.31,   8.04,   4.89,   5.65
1998-03-01,   5.28,   3.91,   4.91,   3.78,   5.62
1998-04-01,   3.36,   1.36,   4.31,  -0.51,   3.13
1998-05-01,  -2.68,  -4.52,  -7.84,  -4.19,  -3.58
1998-06-01,  -1.97,  -4.23,  -2.32,  -6.29,  -1.53
1998-07-01,  -5.36,  -7.88,  -6.66,  -5.52,  -4.08
1998-08-01, -19.68, -17.13, -23.80, -24.68, -18.73
1998-09-01,   0.37,   3.41,   5.83,   7.69,   3.58
1998-10-01,   3.89,   3.75,   6.47,   4.93,   1.11
1998-11-01,  11.34,   1.79,  16.52,   7.14,   4.50
1998-12-01,   4.44,  -1.95,   5.51,   2.04,   1.76
1999-01-01,   5.17,   2.49,  15.64,   8.76,   4.55
1999-02-01,  -4.11,  -5.83,  -7.01,  -7.26,  -2.55
1999-03-01,  -3.14,   0.58,   0.34,  -1.89,  -2.00
1999-04-01,   8.01,  12.39,  10.33,   3.19,   7.28
1999-05-01,   3.48,   2.91,   6.53,   5.96,   1.48
1999-06-01,   2.79,   3.47,   7.31,   3.71,   2.27
1999-07-01,  -1.05,   1.26,   1.89,   3.97,   0.07
1999-08-01,  -6.87,  -2.57,  -1.01,  -1.62,  -4.30
1999-09-01,  -3.13,  -3.04,   1.89,  -1.29,  -2.93
1999-10-01,  -2.45,  -3.22,   4.99,  -2.66,  -0.05
1999-11-01,   4.43,   1.46,  27.43,  13.15,   2.72
1999-12-01,   1.85,   3.01,  24.70,  15.91,   1.66
2000-01-01,   1.36,   3.79,  11.47,  23.75,  -0.88
2000-02-01,   3.14,   3.67,  33.10,  42.79,   1.08
2000-03-01,   4.20,   6.24,  -3.44,  -9.00,   1.89
2000-04-01,  -5.34,  -1.83, -19.95, -13.62,  -3.79
2000-05-01,  -4.88,  -0.38, -14.20,  -7.31,  -2.32
2000-06-01,   2.17,   2.45,  16.57,  19.18,   2.41
2000-07-01,  -1.56,  -0.82,  -8.37,  -2.30,   1.78
2000-08-01,   3.01,   6.40,   8.86,  12.33,   4.12
2000-09-01,  -4.14,  -2.02, -11.42,  -0.12,  -1.00
2000-10-01,  -5.29,  -3.43, -12.94,  -8.01,  -3.51
2000-11-01,  -9.37,  -6.28, -26.75, -13.62,  -5.64
2000-12-01,  -2.60,   6.20,  -9.05,  -3.65,   2.76
2001-01-01,  24.17,  10.82,  47.34,  21.89,  15.34
2001-02-01,  -2.15,  -1.45, -21.57,  -9.01,  -2.01
2001-03-01,  -3.82,  -3.10, -16.39,  -9.38,  -2.68
2001-04-01,   5.38,   5.86,  12.98,  12.81,   4.34
2001-05-01,   8.01,   5.16,   3.75,  13.63,   7.06
2001-06-01,   2.32,  -2.88,  -0.13,   7.16,   2.88
2001-07-01,  -0.41,  -2.74,  -9.86,  -2.65,   1.17
