Date,Cnsmr,Manuf,HiTec,Hlth ,Other
1990-01-01,  -7.47,  -5.60,  -8.25,  -7.31,  -9.00
1990-02-01,   1.25,   2.15,   1.65,  -2.08,   2.51
1990-03-01,   4.55,   1.71,   4.35,   3.84,  -0.38
1990-04-01,  -1.51,  -3.56,  -2.71,   0.30,  -3.42
1990-05-01,   9.84,   6.99,  10.73,  12.80,   9.17
1990-06-01,   1.24,  -0.67,  -3.09,   4.42,  -1.72
1990-07-01,  -2.49,   2.39,  -5.85,   2.58,  -3.57
1990-08-01, -10.14,  -8.00, -11.19,  -6.78, -11.32
1990-09-01,  -6.69,  -4.32,  -2.22,  -4.37, -10.07
1990-10-01,  -0.29,  -0.44,   0.08,   1.41,  -6.43
1990-11-01,   7.67,   4.50,   6.16,   9.49,  10.65
1990-12-01,   3.45,   1.99,   2.71,   2.79,   5.50
1991-01-01,   6.93,   2.31,   7.07,   4.55,   7.47
1991-02-01,   9.54,   6.32,   4.95,   9.90,   9.74
1991-03-01,   5.84,   1.43,   1.70,   5.44,   3.07
1991-04-01,   0.02,   0.91,  -0.95,  -1.14,   1.34
1991-05-01,   6.38,   3.55,   1.07,   4.70,   4.99
1991-06-01,  -4.63,  -3.71,  -5.29,  -4.21,  -5.24
1991-07-01,   4.89,   3.80,   3.89,   8.51,   4.73
1991-08-01,   3.91,   2.16,   1.78,   2.94,   3.19
1991-09-01,  -3.15,  -0.57,  -0.50,  -0.33,  -0.65
1991-10-01,  -1.26,   1.56,   1.95,   6.53,   2.27
1991-11-01,  -1.47,  -4.39,  -4.56,  -2.52,  -5.41
1991-12-01,  13.39,   7.64,   9.53,  16.61,  12.75
1992-01-01,  -0.56,  -0.82,   2.00,  -5.45,   2.00
1992-02-01,   2.78,   0.79,   1.38,  -2.73,   3.08
1992-03-01,  -1.21,  -1.37,  -3.20,  -5.53,  -2.16
1992-04-01,  -0.18,   4.37,   2.71,  -2.30,   0.58
1992-05-01,   0.52,   0.94,  -1.18,   1.11,   1.48
1992-06-01,  -1.88,  -2.46,  -1.56,  -4.78,  -0.05
1992-07-01,   3.79,   4.36,   4.17,   5.80,   3.11
1992-08-01,  -0.93,  -1.41,  -2.77,  -3.36,  -3.47
1992-09-01,   2.16,   1.17,   2.65,  -4.98,   3.43
1992-10-01,   1.36,  -0.42,   0.79,   3.34,   2.97
1992-11-01,   5.57,   1.43,   5.15,   4.84,   6.12
1992-12-01,   0.66,   1.82,   2.75,  -1.35,   3.82
1993-01-01,   0.71,   1.25,   3.10,  -6.86,   3.37
1993-02-01,  -1.64,   3.75,   2.63,  -9.00,   0.37
1993-03-01,   1.82,   2.51,   2.75,   0.73,   3.79
1993-04-01,  -7.34,   0.24,  -3.30,   1.29,  -3.27
1993-05-01,   3.81,   1.63,   6.46,   3.59,   1.64
1993-06-01,  -1.06,   0.36,   2.09,  -2.96,   2.29
1993-07-01,  -0.49,   0.54,  -0.88,  -5.99,   2.06
1993-08-01,   3.56,   3.69,   5.83,   3.02,   3.46
1993-09-01,  -0.79,  -0.84,   0.40,   0.86,   1.79
1993-10-01,   5.75,   0.65,   2.02,   5.92,  -2.36
1993-11-01,   0.64,  -2.01,  -3.03,   0.97,  -2.83
1993-12-01,   0.51,   2.56,   1.25,   2.33,   2.53
1994-01-01,   1.41,   3.45,   3.47,   1.81,   4.37
1994-02-01,  -0.50,  -2.11,  -1.75,  -5.60,  -3.87
1994-03-01,  -4.76,  -4.15,  -3.77,  -6.74,  -4.23
1994-04-01,   0.52,   1.40,  -0.15,   2.27,   1.35
1994-05-01,  -1.75,   0.18,   1.83,   4.28,   3.04
1994-06-01,  -2.44,  -2.73,  -2.53,  -3.43,  -2.56
1994-07-01,   2.19,   4.40,   3.49,   1.10,   2.70
1994-08-01,   4.43,   2.83,   5.41,  10.85,   3.51
1994-09-01,  -1.90,  -1.98,  -0.78,   1.72,  -4.25
1994-10-01,   1.25,   2.27,   3.98,   0.88,   0.05
1994-11-01,  -2.89,  -4.22,  -3.54,   0.44,  -5.17
1994-12-01,  -0.05,   2.13,   1.79,   0.57,   1.41
1995-01-01,   0.62,   1.06,   1.25,   6.18,   4.71
1995-02-01,   3.14,   4.37,   4.52,   2.26,   4.85
1995-03-01,   2.93,   2.85,   2.77,   2.80,   1.90
1995-04-01,   0.33,   2.68,   5.59,   3.00,   1.77
