Stock,Date,Model,ActualReturn,PredictedReturn,PredictedVolatility,Company Market Cap,Industry,Cluster
AAPL.O,2024-01-31,SVR,-1.999245008361937,3.2280821582356,0.080092318,3210435720260.0,Hi-Tech,1
NVDA.O,2024-01-31,SVR,25.13884671079841,5.625396807037918,0.139827361,2968748000000.0,Hi-Tech,2
MSFT.O,2024-01-31,SVR,3.959985861039911,1.990512480673707,0.650759151,2888548137231.6,Hi-Tech,2
AMZN.O,2024-01-31,SVR,13.00782725134208,2.477833222402693,5.7e-11,2097820525228.4,Consumer,1
LLY,2024-01-31,SVR,15.47722684374714,1.10512251957833,0.065538376,771317330786.52,Healthcare,1
WMT,2024-01-31,SVR,6.205914496373442,-1.1675183117793,0.05029874,684238100045.4,Consumer,3
XOM,2024-01-31,SVR,1.649581609778459,0.4879400045053466,0.075846498,485550136724.7,Manufacturing,1
MA,2024-01-31,SVR,5.527440715780154,2.426295497125373,0.066775466,481053876105.84,Other,1
UNH,2024-01-31,SVR,-3.609121096789507,1.89673917868083,0.058852947,446974181520.45,Other,1
ORCL.K,2024-01-31,SVR,-0.01790670610926713,3.503782022644602,0.087133215,418588009180.0,Hi-Tech,1
COST.O,2024-01-31,SVR,6.815400565340528,2.099826364702559,0.062413347,401054260059.44,Consumer,1
NFLX.O,2024-01-31,SVR,6.653525000021957,2.389900806302608,0.125367633,392681017800.0,Other,2
HD,2024-01-31,SVR,7.542049275547905,-2.802554429946255,0.067217625,348978219221.72,Consumer,3
CVX,2024-01-31,SVR,3.059282129419959,0.8729045846776902,0.0698938,276449182279.74,Manufacturing,1
CRM,2024-01-31,SVR,9.408368014165813,1.880667256037521,0.105050101,268503400000.0,Hi-Tech,1
CSCO.O,2024-01-31,SVR,-3.673675410338439,0.6271448720457935,0.074817139,240686692136.0,Hi-Tech,1
MRK,2024-01-31,SVR,5.139678298837364,0.4651866731950632,0.054577069,238887247216.8,Healthcare,1
ABT,2024-01-31,SVR,4.737932575013027,0.820799330617658,1.99e-07,219756119407.81,Healthcare,1
MCD,2024-01-31,SVR,-0.150427378793445,0.9750626662855642,0.046127536,214216883306.37,Consumer,1
TMO,2024-01-31,SVR,5.62736359821084,1.64469428105084,0.062009607,196949200063.1,Hi-Tech,1
ISRG.O,2024-01-31,SVR,1.932452583726369,3.218034642711866,0.112405811,173562531237.48,Healthcare,1
RTX,2024-01-31,SVR,-1.604105417497055,1.011793455963235,0.055488808,173548339220.76,Manufacturing,1
QCOM.O,2024-01-31,SVR,6.061273900472375,0.7375800334322133,0.105294903,173177480000.0,Hi-Tech,1
ADBE.O,2024-01-31,SVR,-9.769574825339527,2.822949626872342,0.104935138,171671386254.84,Hi-Tech,1
AMGN.O,2024-01-31,SVR,-13.77131928813969,0.87552831921896,0.062386587,168526562668.53,Healthcare,1
INTU.O,2024-01-31,SVR,4.878035866907409,1.728691113189371,0.081596919,167401725600.0,Hi-Tech,1
AMD.O,2024-01-31,SVR,13.8134948982226,0.3982306100560562,0.171105868,163619659823.14,Hi-Tech,2
CAT,2024-01-31,SVR,10.62059508576488,0.4619495900747057,0.135319195,162324832631.36,Manufacturing,2
TXN.O,2024-01-31,SVR,4.40443763821095,1.263156756155531,0.081857738,160527701804.4,Hi-Tech,1
NEE,2024-01-31,SVR,-6.04647335247139,-2.331294456486237,0.063367351,151248553917.0,Manufacturing,3
DHR,2024-01-31,SVR,5.367884235239393,1.448165884916716,0.069882238,150617954210.48,Hi-Tech,1
PFE,2024-01-31,SVR,-1.938912343584115,-0.7464177049517583,0.059897563,145869816607.24,Healthcare,3
BLK,2024-01-31,SVR,4.671489157232289,2.061192470251293,0.101567087,144183872514.1,Other,1
UNP,2024-01-31,SVR,3.923175030670482,0.2017438622141401,0.073464887,143536143366.34,Other,3
SYK,2024-01-31,SVR,3.971013304003074,1.822529525173799,0.055910705,141004933322.19,Healthcare,1
GILD.O,2024-01-31,SVR,-8.198257249136322,-0.5568057302771461,8.950000000000001e-43,138781365149.28,Healthcare,3
HON.O,2024-01-31,SVR,-1.760687893383119,2.013057058573509,0.066285459,136138438877.97,Manufacturing,1
CMCSA.O,2024-01-31,SVR,-8.260651283035678,-0.732508936462958,0.071078202,133961630753.43,Hi-Tech,3
VRTX.O,2024-01-31,SVR,-2.959987558492724,0.6445086843779784,4.47e-52,129619822175.13,Healthcare,1
DE,2024-01-31,SVR,-7.525002037684877,2.202077418771516,0.086623743,129600150142.5,Manufacturing,1
TJX,2024-01-31,SVR,4.360391845002706,0.2592972939454548,0.056830856,127322138364.54,Consumer,1
COP,2024-01-31,SVR,0.5971231146293755,0.8391972644262184,0.048027781,125902021284.75,Manufacturing,1
LOW,2024-01-31,SVR,12.28859908161443,0.5247197484230585,0.07789387,125686400000.0,Consumer,1
BA,2024-01-31,SVR,-3.530118695260061,1.109253407873186,0.12835678,121747055147.85,Manufacturing,2
FI,2024-01-31,SVR,5.084560132125427,1.449407347190088,0.071094974,120458220271.84,Other,1
BMY,2024-01-31,SVR,3.774790663983324,0.1659576964114578,0.065890596,119749702477.23,Healthcare,3
ADP.O,2024-01-31,SVR,2.153390648362351,0.1433815184257814,0.063605384,118708651741.68,Hi-Tech,3
MMC,2024-01-31,SVR,4.257036205673392,1.32409418710008,0.055784329,113711589602.78,Other,1
MU.O,2024-01-31,SVR,5.512849618791991,1.055591431803005,0.635718831,112297389026.28,Hi-Tech,2
NKE,2024-01-31,SVR,2.33632742871991,0.9970823043316397,0.084190812,105994232722.42,Manufacturing,1
